,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
3684,2022-03-19 13:43:57+00:00,"@jalfonzo @Desgobiernate @VctorMB3 Sí se han unido, lo que no quita que convoquen otra huelga específicamente del ramo. 
https://t.co/7G3WFXR3ez",      s  se han unido  lo que no quita que convoquen otra huelga espec ficamente del ramo    ,Disidencia21,es,2,1,2017-06-24 10:20:23+00:00,824,False,28743,España,,1505178263559507968
3692,2022-03-19 13:42:57+00:00,RT @La_SER: El sector de la hostelería enciende la luz de alarma con los problemas derivados de la huelga del transporte https://t.co/dsss0…, el sector de la hosteler a enciende la luz de alarma con los problemas derivados de la huelga del transporte  ,puntocomunica2,es,0,2,2011-12-23 08:28:52+00:00,146,False,5,"Valencia, España",,1505178011183820800
3709,2022-03-19 13:41:19+00:00,"Haría un cuscús al estilo saharaui , pero con la huelga del transporte no encuentro ni grasa ni carne de camello.",har a un cusc s al estilo saharaui   pero con la huelga del transporte no encuentro ni grasa ni carne de camello ,DonMitxel_I,es,8,3,2020-09-23 12:03:00+00:00,10098,False,11936,,,1505177602406948868
3713,2022-03-19 13:40:44+00:00,@RubenSanchezTW Lo que hay detrás de la huelga del transporte es mucha gente indignada con el Gobierno y su nefasta gestión. Están hundiendo la economía de miles de empresas y con ello la de muchos trabajadores con familias. Si no tienes las suficientes neuronas para verlo...mejor no opines.,  lo que hay detr s de la huelga del transporte es mucha gente indignada con el gobierno y su nefasta gesti n  est n hundiendo la econom a de miles de empresas y con ello la de muchos trabajadores con familias  si no tienes las suficientes neuronas para verlo   mejor no opines ,NataliaAline11,es,13,3,2016-06-23 12:10:57+00:00,2821,False,2041,"Granada, España",,1505177454188580865
3714,2022-03-19 13:40:40+00:00,"@lidlespana @lidlespanaAC  Puedo entender ciertas subidas, aunque no esté de acuerdo, por la huelga de transporte. Pero la subida que le habéis dado a la arena de gato, que encima es puro polvo y nada de arena para gatos, por ahí no paso. De vergúenza. https://t.co/Q4hyDzfiTC",     puedo entender ciertas subidas  aunque no est  de acuerdo  por la huelga de transporte  pero la subida que le hab is dado a la arena de gato  que encima es puro polvo y nada de arena para gatos  por ah  no paso  de verg enza   ,ArualLG,es,0,0,2011-02-28 18:13:44+00:00,167,False,4595,"Locotta, Málaga, Spain",,1505177437457502214
3726,2022-03-19 13:39:17+00:00,"RT @20m: Miguel Cánovas: ""No podemos trabajar perdiendo dinero, antes llenar el depósito eran 1.300 euros, ahora 2.000"" 

👉 '20minutos' hab…", miguel c novas   no podemos trabajar perdiendo dinero  antes llenar el dep sito eran 1 300 euros  ahora 2 000       20minutos  hab ,acb21acebo,es,0,25,2015-04-22 13:37:11+00:00,516,False,2535,"Madrid, Comunidad de Madrid",,1505177087459704841
3728,2022-03-19 13:39:16+00:00,El sector de la hostelería enciende la luz de alarma con los problemas derivados de la huelga del transporte https://t.co/dsss0u4sba,el sector de la hosteler a enciende la luz de alarma con los problemas derivados de la huelga del transporte  ,La_SER,es,5,2,2009-06-01 16:07:07+00:00,1368574,True,1739,,,1505177084288774144
3731,2022-03-19 13:39:00+00:00,Las gasolineras de la Región de Murcia empiezan a quedarse sin combustible debido a la huelga del transporte https://t.co/68XmEFnFEB,las gasolineras de la regi n de murcia empiezan a quedarse sin combustible debido a la huelga del transporte  ,PopularTvMurcia,es,4,0,2011-08-09 10:19:38+00:00,8880,False,4555,Región de Murcia,,1505177016710176770
3732,2022-03-19 13:38:49+00:00,"RT @JesusSoriaD: En la huelga del TRANSPORTE, por muchos ultras q pueda haber detrás y utilizando el conflicto, GOBIERNO, hay 2 realidades:…", en la huelga del transporte  por muchos ultras q pueda haber detr s y utilizando el conflicto  gobierno  hay 2 realidades  ,rubumo68,es,0,8,2012-06-07 19:22:03+00:00,1209,False,110926,españa madrid,,1505176973152296962
3741,2022-03-19 13:37:22+00:00,"@Iriagal También.
En toda huelga siempre aparecen esos piquetes que les importa poco el resto.
Aún así, este paro huele muy raro y hasta prensa no sospechosa de izquierdas dice que algo no les cuadra.
La peor parte la llevamos los consumidores y las familias que viven del transporte.",  tambi n  en toda huelga siempre aparecen esos piquetes que les importa poco el resto  a n as   este paro huele muy raro y hasta prensa no sospechosa de izquierdas dice que algo no les cuadra  la peor parte la llevamos los consumidores y las familias que viven del transporte ,luposinister666,es,4,0,2015-05-04 10:53:28+00:00,12811,False,72823,,,1505176606502969346
3751,2022-03-19 13:36:36+00:00,"@Oviedocityy @Nenuca91703616 No tienes ni idea y vives ajeno a los problemas de los pequeños autónomos del transporte, yo mismo, por mi trabajo, por la subida de los carburantes he pasado a ingresar casi 200 euros menos, por no hablar del resto de subidas de precio, tengo poco margen para ir a la huelga.",    no tienes ni idea y vives ajeno a los problemas de los peque os aut nomos del transporte  yo mismo  por mi trabajo  por la subida de los carburantes he pasado a ingresar casi 200 euros menos  por no hablar del resto de subidas de precio  tengo poco margen para ir a la huelga ,sronion,es,1,0,2015-10-15 13:31:09+00:00,438,False,922,,,1505176414617841664
3759,2022-03-19 13:35:46+00:00,Encuesta: ¿Apoyas la huelga del transporte? - El Diestro. SIIII!!! https://t.co/Xi70Whahla,encuesta   apoyas la huelga del transporte    el diestro  siiii     ,Ralip33078721,es,0,0,2018-09-29 14:03:16+00:00,135,False,6735,El mundo 🌏,,1505176203216498694
3766,2022-03-19 13:34:45+00:00,"@Santi_ABASCAL @solidaridad_esp En q despilfarra el dinero? 
En pensiones?
En repartir entre las CCAA el dinero de todos los españoles?
En políticas de igualdad como son los ERTE, SANIDAD, educación, desempleo?
Lo mismo le hicieron a Allende.
1° Una huelga de Transporte.
2° Desabastecimiento.
3° Golpe d Estado.",  abascal   esp en q despilfarra el dinero   en pensiones  en repartir entre las ccaa el dinero de todos los espa oles  en pol ticas de igualdad como son los erte  sanidad  educaci n  desempleo  lo mismo le hicieron a allende  1  una huelga de transporte  2  desabastecimiento  3  golpe d estado ,SuperPititi,es,5,2,2010-05-14 15:11:03+00:00,3180,False,76116,Sevilla,,1505175949792497671
3769,2022-03-19 13:33:55+00:00,@lhlcuddles como que huelga de transporte,  como que huelga de transporte,tpwkpaula_,es,0,0,2019-03-17 18:31:19+00:00,838,False,51773,she/her,,1505175737581674496
3775,2022-03-19 13:33:19+00:00,La huelga de transporte https://t.co/yBl2nmoy23 por @MikiyDuarte,la huelga de transporte   por  ,fopascual,es,1,0,2011-01-26 18:20:14+00:00,909,False,28419,Sevilla,,1505175588935553028
3783,2022-03-19 13:32:45+00:00,"Un placer colaborar con un crack como es @jordiobdotcom en su newsletter.

Cuidado con la huelga de transporte, si esta se prolonga hasta el viernes 25 de marzo, el riesgo de paralizar completamente el país está encima de la mesa. 

La gran industria ya a…https://t.co/k4ix9WzEc4",un placer colaborar con un crack como es   en su newsletter   cuidado con la huelga de transporte  si esta se prolonga hasta el viernes 25 de marzo  el riesgo de paralizar completamente el pa s est  encima de la mesa    la gran industria ya a  ,czubialde,es,2,0,2010-07-20 11:13:10+00:00,5675,False,15135,,,1505175446471811074
3784,2022-03-19 13:32:36+00:00,"El Gobierno no se reune con los convocantes de la huelga del transporte, lo mismo que hicieron con la equiparación salarial de policiales nacionales y guardias civiles con las policiales autonómicas.

#Jusapol #YoApoyoALosCamioneros 
#EquiparacionYa

https://t.co/MUxfn8Mdph",el gobierno no se reune con los convocantes de la huelga del transporte  lo mismo que hicieron con la equiparaci n salarial de policiales nacionales y guardias civiles con las policiales auton micas    jusapol  yoapoyoaloscamioneros   equiparacionya   ,jucilnacional,es,297,206,2018-04-09 22:55:49+00:00,34064,True,73999,España,,1505175405644423170
3795,2022-03-19 13:31:05+00:00,Sabotajes y amenazas recrudecen la huelga del transporte en Arousa https://t.co/jW3ND1T8ut https://t.co/qCFVoJDzNe,sabotajes y amenazas recrudecen la huelga del transporte en arousa    ,vozarousa,es,3,1,2011-06-07 16:13:22+00:00,4072,False,29,Galicia | España,,1505175024839237639
3800,2022-03-19 13:30:13+00:00,"""En lugar de insultar a los transportistas el Gobierno debería sentarse a hablar con ellos y negociar”.
https://t.co/jyr1uSlYpU", en lugar de insultar a los transportistas el gobierno deber a sentarse a hablar con ellos y negociar    ,lavozdealmeria,es,1,1,2011-02-27 11:21:37+00:00,75473,False,885,Almería,,1505174805720580096
3801,2022-03-19 13:30:00+00:00,"El camionero punki culpa a la ultraderecha de la huelga del transporte: ""Está detrás de este paro""
https://t.co/VE2gzYzWj3",el camionero punki culpa a la ultraderecha de la huelga del transporte   est  detr s de este paro   ,lavozdelsures,es,1,1,2012-06-02 12:46:25+00:00,13509,False,13414,Andalucía,,1505174754730430466
3802,2022-03-19 13:30:00+00:00,Recordamos que se ha cancelado la Feria de San José de Tineo que iba a celebrarse hoy debido a la huelga del transporte. Las ganaderías no pueden ir,recordamos que se ha cancelado la feria de san jos  de tineo que iba a celebrarse hoy debido a la huelga del transporte  las ganader as no pueden ir,ondacerogijon,es,1,1,2010-10-13 12:24:32+00:00,13448,False,84,Gijón,,1505174753237217289
3803,2022-03-19 13:30:00+00:00,"Huelga del transporte: ¿De verdad es la única solución?

Por Rafael Sanmartín. https://t.co/KjmhiQcTWn",huelga del transporte   de verdad es la  nica soluci n   por rafael sanmart n   ,elCorreoWeb,es,0,1,2009-04-21 09:53:27+00:00,158801,True,5098,Sevilla,,1505174752473886720
3808,2022-03-19 13:28:34+00:00,LIDL CIERRA SUPERMERCADOS: Lidl cierra sus primeros supermercados por la huelga del transporte https://t.co/mYpPO88Zqb,lidl cierra supermercados  lidl cierra sus primeros supermercados por la huelga del transporte  ,LageSure,es,0,0,2014-02-25 22:24:12+00:00,431,False,35619,Galicia/España,,1505174393500180488
3822,2022-03-19 13:26:08+00:00,"A por el agua embotellada 
https://t.co/VRdcGTzSgY",a por el agua embotellada   ,ArdillaTaTuada,es,1,0,2015-07-10 09:38:14+00:00,809,False,37261,La🍻🍺🍺🍻Cerveza🍻🍺,,1505173777843376130
3824,2022-03-19 13:26:03+00:00,"RT @feministaycule: Es una huelga NAZI y no,no son compañeros del transporte. 
#HuelgaTransporte
#QuePaguenEllos19M https://t.co/S7vt2liHnn", es una huelga nazi y no no son compa eros del transporte    huelgatransporte  quepaguenellos19m  ,sortilorom,es,0,1,2014-02-10 09:39:46+00:00,8,False,38,,,1505173758939643906
3832,2022-03-19 13:24:47+00:00,"Es una huelga NAZI y no,no son compañeros del transporte. 
#HuelgaTransporte
#QuePaguenEllos19M https://t.co/S7vt2liHnn",es una huelga nazi y no no son compa eros del transporte    huelgatransporte  quepaguenellos19m  ,feministaycule,es,1,1,2019-03-09 15:27:06+00:00,396,False,98079,"Granada, España",,1505173437903421446
3834,2022-03-19 13:24:01+00:00,"- Todo ha subido mucho.

-Claro, al subir el petróleo el transporte sube mucho con lo que hay que repercutir dicha subida al precio de los productos.

- Hacemos huelga porque con la subida del combustible no cubrimos gastos.

Me lo expliquen.",  todo ha subido mucho    claro  al subir el petr leo el transporte sube mucho con lo que hay que repercutir dicha subida al precio de los productos     hacemos huelga porque con la subida del combustible no cubrimos gastos   me lo expliquen ,Rockegora,es,26,18,2013-04-18 07:10:48+00:00,480,False,8312,,,1505173244952854532
