,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
3765,2022-03-18 18:16:56+00:00,"La empresa tiene el ""problema"" de la adquisición de materia prima por el conflicto bélico en Ucrania, además de por la huelga de transporte, que también afecta a la logística, de cara a la entrega de los pedidos. https://t.co/o7scfoMTVR",la empresa tiene el  problema  de la adquisici n de materia prima por el conflicto b lico en ucrania  adem s de por la huelga de transporte  que tambi n afecta a la log stica  de cara a la entrega de los pedidos   ,ALERTAeldiario,es,0,1,2016-10-04 14:39:41+00:00,5789,False,1468,"Santander, España",,1504884575952121864
3781,2022-03-18 18:16:17+00:00,"RT @RTVEclm: Centenares de camioneros han marchado hoy por Ciudad Real con motivo de la huelga del transporte. Y 
en Talavera de la Reina s…", centenares de camioneros han marchado hoy por ciudad real con motivo de la huelga del transporte  y  en talavera de la reina s ,raquel_rtve,es,0,3,2014-06-01 19:21:46+00:00,532,False,2993,,,1504884411644448772
3786,2022-03-18 18:16:06+00:00,@moniremonoca @gundisalinus @janogarcia_ Las suma enorme de dinero que se va a destinar al ministerio de desigualdad se podría usar para abaratar el precio del combustible y así desconvocar la huelga de transporte que afecta a todos y no solo a una minoría por ejemplo,       las suma enorme de dinero que se va a destinar al ministerio de desigualdad se podr a usar para abaratar el precio del combustible y as  desconvocar la huelga de transporte que afecta a todos y no solo a una minor a por ejemplo,47_observando,es,1,0,2021-11-28 11:05:33+00:00,0,False,16,,,1504884363229544451
3787,2022-03-18 18:16:06+00:00,"@FeijooGalicia la vioencia en la huelga del transporte mo la denunciais , como estais vosotros detrás",  la vioencia en la huelga del transporte mo la denunciais   como estais vosotros detr s,niskelado,es,3,1,2020-02-02 21:57:32+00:00,361,False,26867,mu lejos,,1504884362919260167
3797,2022-03-18 18:15:10+00:00,"@Mariajosejt63 @MiguelVegaSant Lactalis y Nestlé sí han tenido que parar. La causa es huelga de transporte. No sabemos si son ultraderecha o extrema izquierda, pero ejercen su derecho a la huelga.",    lactalis y nestl  s  han tenido que parar  la causa es huelga de transporte  no sabemos si son ultraderecha o extrema izquierda  pero ejercen su derecho a la huelga ,MrBigGoose1,es,1,0,2022-03-09 14:27:26+00:00,0,False,227,,,1504884129191669763
3798,2022-03-18 18:15:07+00:00,"@ElGato_Fisgon ❗ELECCIONES ANTICIPADAS O HUELGA GENERAL INDEFINIDA❗
#GobiernoalaputacalleYA #HuelgaTransporte #huelgatransportistas #HuelgaGeneral #MADRID #boicotMarruecos #chalecosamarillos #huelgadetransportes #Gasoil #Huelga #Transporte #GiletsJaunes #EleccionesYa https://t.co/rFgYQkz2Md",  fisgon  elecciones anticipadas o huelga general indefinida   gobiernoalaputacalleya  huelgatransporte  huelgatransportistas  huelgageneral  madrid  boicotmarruecos  chalecosamarillos  huelgadetransportes  gasoil  huelga  transporte  giletsjaunes  eleccionesya  ,VozHispanica,es,2,1,2021-05-28 13:22:15+00:00,1612,False,47043,"Ceuta, España",,1504884115396509701
3799,2022-03-18 18:15:01+00:00,La huelga del transporte impide a cuatro barcos descargar en el Puerto de Cartagena https://t.co/EG0dHjK9y6,la huelga del transporte impide a cuatro barcos descargar en el puerto de cartagena  ,laverdad_es,es,4,0,2009-06-05 14:05:36+00:00,185092,True,189,Región de Murcia,,1504884091522629632
3801,2022-03-18 18:15:00+00:00,España se queda sin cerveza https://t.co/iH9eoh7teg,espa a se queda sin cerveza  ,Yasss_es,es,5,2,2017-10-31 15:17:41+00:00,7731,True,13950,Mediaset España,,1504884086703378435
3806,2022-03-18 18:14:39+00:00,RT @__63M36__: Los líderes de la huelga del transporte dicen que no pararán hasta conseguir los derechos de todos los trabajadores del sect…, los l deres de la huelga del transporte dicen que no parar n hasta conseguir los derechos de todos los trabajadores del sect ,FJMazorra,es,0,24,2017-10-17 17:04:27+00:00,1593,False,39169,Mompía.Santander.Spain,,1504883999730196480
3807,2022-03-18 18:14:39+00:00,@ElHuffPost Es una huelga de empresarios del transporte. No de transportistas.,  es una huelga de empresarios del transporte  no de transportistas ,MPa60,es,0,0,2021-08-18 10:50:08+00:00,57,False,13174,Madrid ,,1504883997381472256
