,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
314,2022-03-29 15:09:02+00:00,"RT @abrocomillasmc: “Los transportistas afrontan divididos la tercera semana de huelga” 

Os contamos como evoluciona la #huelga de #transp…",  los transportistas afrontan divididos la tercera semana de huelga    os contamos como evoluciona la  huelga de  transp ,meri__GE,es,0,2,2020-06-01 17:23:24+00:00,96,False,6948,,,1508823552379731975
315,2022-03-29 15:05:27+00:00,Con el asunto de la huelga de transportes y del precio del combustible alguien habrá tenido tiempo para ver el déficit de transporte ferroviario de mercancías que tenemos?,con el asunto de la huelga de transportes y del precio del combustible alguien habr  tenido tiempo para ver el d ficit de transporte ferroviario de mercanc as que tenemos ,Khaan_baral,es,3,0,2011-06-23 21:59:49+00:00,559,False,19365,"Ḷḷuarca, Asturies",,1508822651711758340
322,2022-03-29 15:01:31+00:00,"El paro de trenes decretado por el sindicato dejó a un millón de personas sin transporte en todo el país???
El derecho a huelga de 100 contra el derecho de transitar de un millón.. .Y la GILADA aplaude",el paro de trenes decretado por el sindicato dej  a un mill n de personas sin transporte en todo el pa s    el derecho a huelga de 100 contra el derecho de transitar de un mill n    y la gilada aplaude,DarioPerrone3,es,2,2,2018-07-26 22:56:27+00:00,285,False,10888,,,1508821661746876419
327,2022-03-29 14:56:15+00:00,"Primero un problema informático , luego huelga de transporte cuando toda españa vuelve a la normalidad empresas como Amazon cumplen perfectamente , hoy he recibido correos express sin problema , así como tb seur… ellos siguen sin atender las quejas ….",primero un problema inform tico   luego huelga de transporte cuando toda espa a vuelve a la normalidad empresas como amazon cumplen perfectamente   hoy he recibido correos express sin problema   as  como tb seur  ellos siguen sin atender las quejas   ,phonsoto84,es,1,0,2021-11-05 08:39:43+00:00,4,False,820,,,1508820336313253899
328,2022-03-29 14:56:04+00:00,@SimancasRafael Mejor como la ninistra de transporte que NO se reúne con los que hacen la huelga/paron,  mejor como la ninistra de transporte que no se re ne con los que hacen la huelga paron,JJaviOV,es,1,0,2016-03-03 21:55:27+00:00,1002,False,9471,,,1508820289123139589
334,2022-03-29 14:51:16+00:00,"El gremio de #LaFraternidad y el #Ministerio de #Transporte llegaron a un acuerdo y culminó la huelga que afectó a más de 1.000.000 de pasajeros. 
También paralizó el transporte de carga. 
https://t.co/OCjxjOBgK3",el gremio de  lafraternidad y el  ministerio de  transporte llegaron a un acuerdo y culmin  la huelga que afect  a m s de 1 000 000 de pasajeros   tambi n paraliz  el transporte de carga    ,revistalatecla,es,1,0,2010-04-14 17:13:18+00:00,46690,False,341,"La Plata, Argentina",,1508819082862342152
335,2022-03-29 14:50:30+00:00,"RT @CarlosJ65007537: Que no os engañen. La huelga de transporte sigue.
Hoy en Madrid miles de transportistas se han manifestado pidiendo la…", que no os enga en  la huelga de transporte sigue  hoy en madrid miles de transportistas se han manifestado pidiendo la ,Laperla87022871,es,0,183,2020-04-22 20:56:45+00:00,4107,False,139139,,,1508818889177767945
336,2022-03-29 14:50:27+00:00,RT @ninodelukelele: Soy CAMIONERO 🚛 Huelga de Transporte https://t.co/vmJwhNnkq3, soy camionero   huelga de transporte  ,Laperla87022871,es,0,14,2020-04-22 20:56:45+00:00,4107,False,139139,,,1508818875848212485
337,2022-03-29 14:49:55+00:00,"RT @egtegain: HUELGA DE CAMIONEROS. QUE NO TE MANIPULEN.

HILO👇

1/3. Hoy 26/03 Manuel Hernández presidente de la Plataforma en Defensa del…", huelga de camioneros  que no te manipulen   hilo   1 3  hoy 26 03 manuel hern ndez presidente de la plataforma en defensa del ,Laperla87022871,es,0,93,2020-04-22 20:56:45+00:00,4107,False,139139,,,1508818743849324544
338,2022-03-29 14:49:19+00:00,"RT @0d5909f1f9a4455: La huelga del transporte como va??  
La factura eléctrica bien no?? 
El país destrozado, Sánchez cargando de la econom…", la huelga del transporte como va     la factura el ctrica bien no    el pa s destrozado  s nchez cargando de la econom ,Laperla87022871,es,0,1,2020-04-22 20:56:45+00:00,4107,False,139139,,,1508818591461871618
340,2022-03-29 14:49:13+00:00,"RT @silviaramrez1: Lo de V🤮x, que se han convertido en férreos defensores de los huelguistas del transporte, proponían, en su programa elec…", lo de v x  que se han convertido en f rreos defensores de los huelguistas del transporte  propon an  en su programa elec ,yacareto,es,0,808,2011-12-29 20:06:59+00:00,2909,False,30635,el mundo,,1508818565230743557
343,2022-03-29 14:48:41+00:00,"RT @gladia88363121: Huelga de transporte, última hora | La rebaja en el combustible se aplicará desde el viernes al repostar y se sumará a…", huelga de transporte   ltima hora   la rebaja en el combustible se aplicar  desde el viernes al repostar y se sumar  a ,Laperla87022871,es,0,1,2020-04-22 20:56:45+00:00,4107,False,139139,,,1508818430685859844
349,2022-03-29 14:47:11+00:00,".@NuriaPuebla y lo que no sabes es que esas galletas María estaban a €0,90 en noviembre. Las galletas han pasado de €0,90 → €1,35 en menos de 5 meses un 50% 🤯
En Noviembre a la guerra 🔫o a la huelga de transporte 🚚 no se le venía venir aún. https://t.co/AATz229o3s https://t.co/5P7pCfmBAi",   y lo que no sabes es que esas galletas mar a estaban a  0 90 en noviembre  las galletas han pasado de  0 90    1 35 en menos de 5 meses un 50    en noviembre a la guerra  o a la huelga de transporte   no se le ven a venir a n     ,betobetico,es,0,0,2007-03-13 21:45:49+00:00,6976,True,18387,,,1508818055643779085
352,2022-03-29 14:46:02+00:00,Abiertas varias investigaciones para dar con los autores de altercados y sabotajes en la huelga del transporte en Cádiz https://t.co/f6oC4mtsW2,abiertas varias investigaciones para dar con los autores de altercados y sabotajes en la huelga del transporte en c diz  ,LaVozdeCadiz,es,1,1,2008-11-06 09:39:27+00:00,52193,True,2503,Cádiz,,1508817763766358024
353,2022-03-29 14:46:00+00:00,"La Compañía Orovalle asegura que comparte con su plantilla la preocupación por el futuro de la actividad industrial en Asturias. Justifica el ERTE presentado para el 40% de la plantilla, en la incidencia de la huelga de transporte",la compa  a orovalle asegura que comparte con su plantilla la preocupaci n por el futuro de la actividad industrial en asturias  justifica el erte presentado para el 40  de la plantilla  en la incidencia de la huelga de transporte,ondacerogijon,es,4,2,2010-10-13 12:24:32+00:00,13485,False,84,Gijón,,1508817756321300481
356,2022-03-29 14:42:40+00:00,@Trab_Zumosol El apagón de los medios de comunicación a los trabajadores de Zumosol...contrasta con la cobertura a la Huelga del Transporte...donde muchos son empresas y autónomos. https://t.co/R5sTxdQv2t,  zumosol el apag n de los medios de comunicaci n a los trabajadores de zumosol   contrasta con la cobertura a la huelga del transporte   donde muchos son empresas y aut nomos   ,franciscojrb57,es,52,39,2016-01-12 17:40:49+00:00,748,False,6639,,,1508816918559473677
357,2022-03-29 14:40:27+00:00,"@ccarballo50 Don César, denos su opinión y consejos acerca de:
1)Las próximas olas de Covid.
2)Cumbre Vieja y como mitigar sus efectos.
3)La guerra en Ucrania.
4)Huelga del transporte.
5)Plan del Gobierno, suficiente e insuficiente?.
6)Tema libre

Muchas gracias , Don Referente Carballo.",  don c sar  denos su opini n y consejos acerca de  1 las pr ximas olas de covid  2 cumbre vieja y como mitigar sus efectos  3 la guerra en ucrania  4 huelga del transporte  5 plan del gobierno  suficiente e insuficiente   6 tema libre  muchas gracias   don referente carballo ,JoseJosefser,es,31,3,2015-09-03 14:14:29+00:00,5025,False,69651,España,,1508816361648185355
358,2022-03-29 14:40:09+00:00,"El Gobierno, tras 12 días de #huelga ha logrado un acuerdo con el sector del #Transporte. Hoy, entrarán en vigor algunas de las 30 #medidas aprobadas. El valor de las ayudas a empresas suma alrededor de 1.050 millones de euros y se prevé el ahorro de unos 700 al mes por vehículo. https://t.co/8xThFYaWQj",el gobierno  tras 12 d as de  huelga ha logrado un acuerdo con el sector del  transporte  hoy  entrar n en vigor algunas de las 30  medidas aprobadas  el valor de las ayudas a empresas suma alrededor de 1 050 millones de euros y se prev  el ahorro de unos 700 al mes por veh culo   ,LogisticaTandem,es,0,0,2022-03-08 11:26:10+00:00,2,False,9,Viladecans,,1508816285920075781
359,2022-03-29 14:37:55+00:00,"@elpais_espana SPOR. Opi Alonso legi Guadalquivir Cantabria Barcelona la fraternite  igualite 🐯🐯

UNA HUELGA CONTRA UN COLAPSO...LOS POLÍTICOS AUTONÓMICOS
HAN AUMENTADO LAS MULTAS DE TRAFICO. AUTOPISTAS  LAS TASAS Y IMPUESTOS LA PRESION FISCAL ENCUBIERTA CONTRA EL TRANSPORTE Y LOS CIUDADANOS",  espana spor  opi alonso legi guadalquivir cantabria barcelona la fraternite  igualite     una huelga contra un colapso   los pol ticos auton micos han aumentado las multas de trafico  autopistas  las tasas y impuestos la presion fiscal encubierta contra el transporte y los ciudadanos,juandelacruzc10,es,0,0,2017-04-02 09:19:32+00:00,29,False,2663,,,1508815723774234644
360,2022-03-29 14:35:47+00:00,"Huelga de transporte, última hora | La rebaja en el combustible se aplicará desde el viernes al repostar y se sumará a los descuentos de las petroleras https://t.co/MxSuHTv1EB
Si todo lo que hacen es para no bajar impuestos y la evidencia les va a dar una hostia de realidad.",huelga de transporte   ltima hora   la rebaja en el combustible se aplicar  desde el viernes al repostar y se sumar  a los descuentos de las petroleras   si todo lo que hacen es para no bajar impuestos y la evidencia les va a dar una hostia de realidad ,gladia88363121,es,1,1,2014-06-19 07:26:08+00:00,87,False,1891,"Cádiz, Andalucía",,1508815184583876621
364,2022-03-29 14:34:22+00:00,Un millar de convoyes escoltados y 12 detenidos en Asturias desde el inicio de la huelga de transporte https://t.co/VjNXpq5dde,un millar de convoyes escoltados y 12 detenidos en asturias desde el inicio de la huelga de transporte  ,La_SER,es,19,9,2009-06-01 16:07:07+00:00,1371722,True,1785,,,1508814830433714193
