,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
2645,2022-03-14 14:04:45+00:00,"Cortes de carretera aislados y escasa incidencia en la huelga de transporte
#HuelgaTransporte 
 https://t.co/XFWPCvlkGO",cortes de carretera aislados y escasa incidencia en la huelga de transporte  huelgatransporte    ,diariosevilla,es,2,0,2009-04-22 10:41:49+00:00,213469,True,4563,"Sevilla, Spain",
2647,2022-03-14 14:04:39+00:00,"RT @NonNobis10: 🇪🇦 | ÚLTIMA HORA | HUELGA | TRANSPORTISTAS 

☝️Escasa afectación del paro indefinido del transporte de mercancía. 

https:/…",       ltima hora   huelga   transportistas     escasa afectaci n del paro indefinido del transporte de mercanc a    https   ,JoseRom38632975,es,0,1,2020-06-10 17:49:36+00:00,106,False,24961,"Almería, España",
2648,2022-03-14 14:04:26+00:00,"RT @Nicky69es: Dicen que hay huelga de transporte a partir de mañana.
Sabéis si afecta al TCP/IP también?
#ChistacoInformatico #YaMeVoy htt…", dicen que hay huelga de transporte a partir de ma ana  sab is si afecta al tcp ip tambi n   chistacoinformatico  yamevoy htt ,pixeldre,es,0,4,2011-02-08 15:56:21+00:00,261,False,3351,España,
2650,2022-03-14 14:04:24+00:00,"Ni @upta_es ni @autonomosata dicen una palabra sobre la huelga del transporte, eso sí, opinar políticamente sobre lo que le mandan sus dueños, subir impuestos, pedir subvenciones… que vergüenza por favor, que vergüenza 
@lorenzoamor_ata 
@EDUARDOABADSABA",ni   es ni   dicen una palabra sobre la huelga del transporte  eso s   opinar pol ticamente sobre lo que le mandan sus due os  subir impuestos  pedir subvenciones  que verg enza por favor  que verg enza    ata   ,MikeRuz,es,1,0,2010-04-12 21:52:10+00:00,571,False,10050,,
2651,2022-03-14 14:04:19+00:00,"📈 El precio del cereal se dispara y la huelga de transporte deja el mercado de Salamanca sin ganado. Consulta las cotizaciones

➡️ https://t.co/W3WGrH6qrC https://t.co/HrKyQEI8vR",  el precio del cereal se dispara y la huelga de transporte deja el mercado de salamanca sin ganado  consulta las cotizaciones        ,SArtvALDIA,es,0,0,2009-07-23 08:43:40+00:00,26777,False,2557,"Salamanca, España",
2663,2022-03-14 14:00:57+00:00,"RT @noticiasCEX: Pide a la ciudadanía ""paciencia"" y que entienda la situación por la que pasan los transportistas. Germán Martínez es miemb…", pide a la ciudadan a  paciencia  y que entienda la situaci n por la que pasan los transportistas  germ n mart nez es miemb ,cextremadura,es,0,1,2010-01-13 13:41:31+00:00,81251,True,7131,"Extremadura, España",
2665,2022-03-14 14:00:36+00:00,"RT @NonNobis10: 🇪🇦 | ÚLTIMA HORA | HUELGA | TRANSPORTISTAS 

☝️Accesos de Palma colapsados. 

https://t.co/LmX0MYNXye

🛎Telegram:
👉https://…",       ltima hora   huelga   transportistas     accesos de palma colapsados        telegram    ,JoseRom38632975,es,0,2,2020-06-10 17:49:36+00:00,106,False,24961,"Almería, España",
2676,2022-03-14 13:59:02+00:00,"Los sindicatos mayoritarios del transporte no secundan la huelga. No sé que coño ta pasando..
Será que a los que ellos representan no les afecta el precio del gasoil?",los sindicatos mayoritarios del transporte no secundan la huelga  no s  que co o ta pasando   ser  que a los que ellos representan no les afecta el precio del gasoil ,trasgusiempre,es,1,0,2020-03-27 23:37:50+00:00,560,False,1298,Ciudadano del mundo. Antimilit,
2678,2022-03-14 13:58:54+00:00,RT @blythe_club: ¿Hay huelga de transporte pero NO para el contrabando? Pues en un utilitario no cabe todo eso...,  hay huelga de transporte pero no para el contrabando  pues en un utilitario no cabe todo eso   ,Weavemind,es,0,3,2010-06-20 14:53:46+00:00,1138,False,105684,,
2683,2022-03-14 13:58:14+00:00,@nachodelvalle61 Eo problema del transporte lo tiene la misma patronal. Tirando precios con tal de quitarse viajes unos a otros. Y luego hacen huelga y no hay compañerismo de nada. Si para uno ya viene el otro hacer el viaje de el y del que paro,  eo problema del transporte lo tiene la misma patronal  tirando precios con tal de quitarse viajes unos a otros  y luego hacen huelga y no hay compa erismo de nada  si para uno ya viene el otro hacer el viaje de el y del que paro,DavidFe39099302,es,0,0,2019-12-30 20:40:23+00:00,189,False,7566,Asturias,
2687,2022-03-14 13:57:31+00:00,"Los manifestantes han dificultado el acceso de Teresa Ribera, Reyes Maroto, y de la presidenta del Govern balear, Francina Armengol, entre otras autoridades, a la planta de hidrógeno verde que se ha inaugurado en el municipio mallorquín de Lloseta
https://t.co/3g1bVSKy3z",los manifestantes han dificultado el acceso de teresa ribera  reyes maroto  y de la presidenta del govern balear  francina armengol  entre otras autoridades  a la planta de hidr geno verde que se ha inaugurado en el municipio mallorqu n de lloseta  ,20m,es,5,3,2009-04-14 09:39:41+00:00,1479122,True,6643,Spain,
2695,2022-03-14 13:56:25+00:00,¿Hay huelga de transporte pero NO para el contrabando? Pues en un utilitario no cabe todo eso... https://t.co/CMt2MwJ15A, hay huelga de transporte pero no para el contrabando  pues en un utilitario no cabe todo eso     ,blythe_club,es,8,3,2011-05-25 16:18:59+00:00,26545,False,3527,Fuera del Sistema,
2706,2022-03-14 13:55:20+00:00,"@DavidFe39099302 Por cierto. Me recuerda a la huelga del transporte de Chile a Allende.
Tiene el mismo tinte.",  por cierto  me recuerda a la huelga del transporte de chile a allende  tiene el mismo tinte ,nachodelvalle61,es,0,0,2013-07-02 12:10:54+00:00,2295,False,63700,,
2712,2022-03-14 13:54:55+00:00,"@Nuri19723 A ver. Se junta el tema de los anuncios, quizás interesados, sobre la escasez por culpa de la invasión rusa, y por otro lado la huelga indefinida del transporte, que puede dejar desabastecidos los supermercados y tiendas de comestibles.
El Gobierno debe sentarse a negociar.
Ya.",  a ver  se junta el tema de los anuncios  quiz s interesados  sobre la escasez por culpa de la invasi n rusa  y por otro lado la huelga indefinida del transporte  que puede dejar desabastecidos los supermercados y tiendas de comestibles  el gobierno debe sentarse a negociar  ya ,Escaparatista57,es,2,0,2011-12-22 19:59:18+00:00,2172,False,46750,Capital del Mundo,
2713,2022-03-14 13:54:53+00:00,RT @BOOMBOOXpolitic: Noticias desde Asturias 🔵🟡 Seguimiento «masivo» de la huelga del transporte en Asturias: «Las empresas tienen que volv…, noticias desde asturias    seguimiento  masivo  de la huelga del transporte en asturias   las empresas tienen que volv ,Vanessa32831,es,0,1,2021-04-14 07:41:04+00:00,314,False,715,"Barcelona, España",
2714,2022-03-14 13:54:45+00:00,"@gzapatamadrid Me has convencido, un diario como elplural me demuestra que la huelga es por paranoicos y no por los costos de movilidad, autónomos etc...

Menudos son, mira que son negacionistas por pensar que el diésel a 2 euros sea un problema para transporte...",  me has convencido  un diario como elplural me demuestra que la huelga es por paranoicos y no por los costos de movilidad  aut nomos etc     menudos son  mira que son negacionistas por pensar que el di sel a 2 euros sea un problema para transporte   ,CensuradoMomos,es,0,0,2020-11-07 22:15:16+00:00,2,False,92,,
2719,2022-03-14 13:53:46+00:00,Solo los autónomos están en huelga. Las empresas de transporte no la secundan. ¿Por qué? https://t.co/7PjofaNRNB,solo los aut nomos est n en huelga  las empresas de transporte no la secundan   por qu    ,ninjajavier,es,0,0,2011-03-24 09:40:49+00:00,951,False,7688,,
2720,2022-03-14 13:53:39+00:00,Huelga de los pescadores de Castellón tras la huelga del transporte https://t.co/a019nEsG5z a través de @OndaCero_es,huelga de los pescadores de castell n tras la huelga del transporte   a trav s de   es,OCR_Castellon,es,0,0,2011-09-13 16:14:21+00:00,5283,False,100,"Castellón, Comunidad Valencian",
2721,2022-03-14 13:53:13+00:00,"Si hy huelga de transporte, no de patronal de transporte, es porque el precio se ha ido de madre. Y quien tiene la culpa? Pues eso? Claro q quieren quitar el gobierno y q parezca q ellos no han tenido nada q ver. Q ha sido el pueblo. Es repetitivo y espero q nadie se lo crea. https://t.co/ZqksOhvGMi",si hy huelga de transporte  no de patronal de transporte  es porque el precio se ha ido de madre  y quien tiene la culpa  pues eso  claro q quieren quitar el gobierno y q parezca q ellos no han tenido nada q ver  q ha sido el pueblo  es repetitivo y espero q nadie se lo crea   ,roberto505032,es,0,0,2016-02-04 13:15:58+00:00,3683,False,181741,,
2743,2022-03-14 13:50:11+00:00,"Cortes de carretera aislados y escasa incidencia en la huelga de transporte.

https://t.co/ESOLHck6C9 https://t.co/S7WEM6ZuOA",cortes de carretera aislados y escasa incidencia en la huelga de transporte      ,EFEnoticias,es,11,9,2010-01-15 09:04:56+00:00,2035409,True,209,Madrid,
2748,2022-03-14 13:48:57+00:00,Noticias desde Asturias 🔵🟡 Seguimiento «masivo» de la huelga del transporte en Asturias: «Las empresas tienen que volver a la rentabilidad» #Asturias https://t.co/p3D5bV2t1J,noticias desde asturias    seguimiento  masivo  de la huelga del transporte en asturias   las empresas tienen que volver a la rentabilidad   asturias  ,BOOMBOOXpolitic,es,1,1,2021-03-04 14:34:30+00:00,219,False,223,"Principado de Asturias, España",
2763,2022-03-14 13:46:49+00:00,"@StrangeLetrado Pero como es puede ser eso? si todos los medios, en especial los mas centristas están informando puntualmente de la huelga del transporte y de la ruina del sector. 

(estaba siendo irónico)",  pero como es puede ser eso  si todos los medios  en especial los mas centristas est n informando puntualmente de la huelga del transporte y de la ruina del sector     estaba siendo ir nico ,toptnc,es,0,0,2007-07-16 06:54:28+00:00,731,False,114835,"Toledo, España",
2768,2022-03-14 13:45:37+00:00,"@Beholder_FFC A ver, de los 17 millones, algo les caerá a los sindicatos del transporte.
Por qué creéis que no la han secundado?.
El sistema está así establecido y solo se combate con una huelga general, no por sectores.
Hay que hacerla general o no conseguimos nada.🇪🇦💚🇪🇦💚🇪🇦💚",  ffc a ver  de los 17 millones  algo les caer  a los sindicatos del transporte  por qu  cre is que no la han secundado   el sistema est  as  establecido y solo se combate con una huelga general  no por sectores  hay que hacerla general o no conseguimos nada          ,77adrianmolina1,es,11,2,2017-12-31 16:38:20+00:00,3622,False,3106,"Badajoz, España",
2778,2022-03-14 13:44:31+00:00,"RT @BaezaMolla: #psoe, #PODEMOS que tal lleváis la huelga de transporte??? Preparados para la del 19 por la luz y el gas??! 
Tic-tac...#Esp…",  psoe   podemos que tal llev is la huelga de transporte    preparados para la del 19 por la luz y el gas     tic tac    esp ,SazRubia,es,0,1,2012-07-09 20:49:02+00:00,385,False,23852,MADRID,
2783,2022-03-14 13:44:08+00:00,"La izmierda de la Secta intentando reventar la huelga de transporte.
Hay que ir a los Mercadonas y sacar las fotos de las estanterias vacias",la izmierda de la secta intentando reventar la huelga de transporte  hay que ir a los mercadonas y sacar las fotos de las estanterias vacias,LOBOALFAIBERICO,es,2,2,2011-12-01 19:23:08+00:00,253,False,32991,"Extremadura, España",
2792,2022-03-14 13:43:20+00:00,No han dicho absolutamente nada en los informativos sobre la huelga de transporte. Nada. https://t.co/uO1FqtlvZu,no han dicho absolutamente nada en los informativos sobre la huelga de transporte  nada   ,M_BSPITZER,es,7,0,2016-10-05 10:50:42+00:00,1775,False,56946,Madrid,
2794,2022-03-14 13:43:00+00:00,“Jornada histórica”. La huelga del transporte provoca que solo 2 vacas hayan llegado al Mercado Nacional de Ganados de Pola de Siero. Lo habitual en un día como hoy sería de 1.500 cabezas https://t.co/Td7o5rFvUb, jornada hist rica   la huelga del transporte provoca que solo 2 vacas hayan llegado al mercado nacional de ganados de pola de siero  lo habitual en un d a como hoy ser a de 1 500 cabezas  ,ondacerogijon,es,1,1,2010-10-13 12:24:32+00:00,13442,False,84,Gijón,
