,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
1135,2022-03-20 17:44:09+00:00,"Una horda de ultraderechistas al servicio de Putin que estaban escondidos en las granjas y campos de toda España se manifiesta contra Sánchez y su Gobierno. No se está produciendo una ‘huelga legítima’ del transporte, sino un ‘boicot al Gobierno.
https://t.co/toWUOs0xik",una horda de ultraderechistas al servicio de putin que estaban escondidos en las granjas y campos de toda espa a se manifiesta contra s nchez y su gobierno  no se est  produciendo una  huelga leg tima  del transporte  sino un  boicot al gobierno   ,ruizverauk,es,1,0,2011-03-12 12:16:20+00:00,49,False,49,Malaga,,1505601099612446727
1140,2022-03-20 17:42:45+00:00,"RT @ToroenReposo: Si después de esta, negándose a una huelga con el sector del transporte totalmente arruinado, los sindicatos de clase sig…", si despu s de esta  neg ndose a una huelga con el sector del transporte totalmente arruinado  los sindicatos de clase sig ,mb1285982084,es,0,117,2021-12-22 17:17:09+00:00,322,False,6937,,,1505600748142399492
1151,2022-03-20 17:39:52+00:00,"RT @BenitoArrunada: Comentarios y extensiones sobre mi tribuna de hoy sobre la huelga del transporte
https://t.co/PkfJu2K7Rm
1/", comentarios y extensiones sobre mi tribuna de hoy sobre la huelga del transporte   1 ,ianhazlitt,es,0,5,2009-08-19 07:03:17+00:00,3498,False,25839,"Toledo, Lo centro represor",,1505600023421145092
1152,2022-03-20 17:39:51+00:00,"RT @lavozdegalicia: La conselleira de Infraestruturas critica la inacción del Gobierno central ante la huelga de transportistas
 https://t.…", la conselleira de infraestruturas critica la inacci n del gobierno central ante la huelga de transportistas   ,DoloPerez88,es,0,1,2013-08-28 02:51:08+00:00,45,False,38744,,,1505600016550961162
1168,2022-03-20 17:36:09+00:00,"La ultraderecha,detrás de la huelga del transporte.
Y poco a poco,irán envenenando todo.
👇👇 https://t.co/ogN5fIufjk",la ultraderecha detr s de la huelga del transporte  y poco a poco ir n envenenando todo      ,Melussia2,es,9,1,2021-04-23 16:00:42+00:00,6419,False,32456,,,1505599087906889731
1169,2022-03-20 17:36:04+00:00,"🔵Huelga del transporte hoy: séptimo día | Última hora en directo 

➡ Concentraciones en los pueblos y marchas lentas
https://t.co/dpPRazzv5q", huelga del transporte hoy  s ptimo d a    ltima hora en directo     concentraciones en los pueblos y marchas lentas  ,elperiodico,es,13,6,2010-10-05 10:56:58+00:00,715961,True,376,Barcelona,,1505599064716500995
1171,2022-03-20 17:35:47+00:00,"RT @niduaz: El análisis de Elisa Beni sobre la huelga de transporte: ""Vox intentará sacudir la calle para desestabilizar al Gobierno""

Pero…", el an lisis de elisa beni sobre la huelga de transporte   vox intentar  sacudir la calle para desestabilizar al gobierno   pero ,toripollo2014,es,0,68,2014-02-19 22:44:45+00:00,2203,False,279947,Tabarnia,,1505598994394800128
1172,2022-03-20 17:35:44+00:00,"Todo traidor, paga cara su traición, 
¿Recuerdan que Salvador Allende en CHILE comenzó a cavar su tumba con una huelga del transporte y finalizó con su muerte por un alzamiento de PINOCHET.?
Pues como esta huelga se alargue y falten los alimentos, el pueblo llano y .... https://t.co/5MQoF0cg8G",todo traidor  paga cara su traici n    recuerdan que salvador allende en chile comenz  a cavar su tumba con una huelga del transporte y finaliz  con su muerte por un alzamiento de pinochet   pues como esta huelga se alargue y falten los alimentos  el pueblo llano y       ,DCJ1946,es,1,0,2013-03-16 11:46:46+00:00,13543,False,13771,,,1505598980453023749
1173,2022-03-20 17:35:35+00:00,ULTIMA HORA. Alarma en UGT y CCOO: la huelga del transporte paraliza el suministro de marisco a la capital de España. https://t.co/CeKJjwNFED,ultima hora  alarma en ugt y ccoo  la huelga del transporte paraliza el suministro de marisco a la capital de espa a   ,VoxAsturias,es,9,3,2020-02-23 13:44:15+00:00,6305,False,1072,Asturias,,1505598942586753024
1180,2022-03-20 17:32:21+00:00,Esto de la huelga del transporte va a ser un desmadre monumenta.,esto de la huelga del transporte va a ser un desmadre monumenta ,DanielDerbez,es,1,0,2021-11-24 21:53:19+00:00,100,False,4026,San Millán de la Cogolla,,1505598129638363138
1181,2022-03-20 17:32:20+00:00,"El abastecimiento cae en Mercamadrid un 27% tras una semana de huelga del transporte

https://t.co/039PjduSc8",el abastecimiento cae en mercamadrid un 27  tras una semana de huelga del transporte   ,BLOGdeJCM,es,0,0,2009-07-01 07:26:05+00:00,1726,False,146382,Madrid / España,,1505598127428018182
1186,2022-03-20 17:30:18+00:00,"RT @laSextaTV: ""Esto no es una huelga. El artículo 28 de la Constitución Española deja muy claro qué es una huelga y quién puede convocar u…",  esto no es una huelga  el art culo 28 de la constituci n espa ola deja muy claro qu  es una huelga y qui n puede convocar u ,CRE31742718,es,0,33,2018-02-02 21:09:05+00:00,602,False,40645,,,1505597613999071233
1187,2022-03-20 17:30:17+00:00,"Instrucciones del Gobierno para actuar «con más contundencia» frente a los transportistas.

Restringir derechos a huelguistas que pueden provocar enfrentamientos entre el colectivo del transporte y agentes de la #GuardiaCivil. 

#YoApoyoALosCamioneros
https://t.co/e1U6sDMOWC",instrucciones del gobierno para actuar  con m s contundencia  frente a los transportistas   restringir derechos a huelguistas que pueden provocar enfrentamientos entre el colectivo del transporte y agentes de la  guardiacivil     yoapoyoaloscamioneros  ,jucilnacional,es,182,126,2018-04-09 22:55:49+00:00,34064,True,74000,España,,1505597611746734083
1188,2022-03-20 17:30:08+00:00,"Putin: No es una guerra sino una “operación especial”
Sanchez: No es una huelga sino un paro
Por @ariasborque https://t.co/XcuwT8hDpz vía @libertaddigital",putin  no es una guerra sino una  operaci n especial  sanchez  no es una huelga sino un paro por     v a  ,BenitoArrunada,es,4,4,2011-07-08 16:21:45+00:00,12465,False,94,,,1505597570135076866
1189,2022-03-20 17:29:58+00:00,"RT @SextaNocheTV: Afra Blanco, sobre el paro de transporte: ""No es una huelga. Si un asalariado para, el empresario puede despedirlo"" https…", afra blanco  sobre el paro de transporte   no es una huelga  si un asalariado para  el empresario puede despedirlo  https ,AfraBlanco,es,0,8,2014-02-02 17:58:51+00:00,3636,False,4079,,,1505597530528231428
1193,2022-03-20 17:28:38+00:00,RT @piquitronic: Siento vergüenza ajena cuando leo y oigo quejarse por la huelga del transporte.JAMAS  en la historia de España ha habido u…, siento verg enza ajena cuando leo y oigo quejarse por la huelga del transporte jamas  en la historia de espa a ha habido u ,mb1285982084,es,0,10,2021-12-22 17:17:09+00:00,322,False,6937,,,1505597196531638275
1196,2022-03-20 17:27:47+00:00,"@PSOE @AdrianBarbon @FSA_PSOE NO PODEMOS ESPERAR 2 SEMANAS ANTE LAS “CAGADAS” DEL GOBIERNO
Prensa: Mano dura de Interior con el paro en el transporte: pide no usar los términos ""huelga"" y ""piquete"" e informar de las ""reuniones ilegales""",      psoe no podemos esperar 2 semanas ante las  cagadas  del gobierno prensa  mano dura de interior con el paro en el transporte  pide no usar los t rminos  huelga  y  piquete  e informar de las  reuniones ilegales ,Unomas44284474,es,0,0,2022-01-30 17:24:54+00:00,5,False,1,,,1505596982353711108
1199,2022-03-20 17:27:14+00:00,@A3Noticias No hay ninguna  huelga de la industria  del transporte  . Lo que hay es un paro patronal violento  que impide realizar  con normalidad  su trabajo a la gran mayoría  de transportistas por motivos políticos  . Insolidarios con sus compañeros  y el conjunto  de la sociedad  .,  no hay ninguna  huelga de la industria  del transporte    lo que hay es un paro patronal violento  que impide realizar  con normalidad  su trabajo a la gran mayor a  de transportistas por motivos pol ticos    insolidarios con sus compa eros  y el conjunto  de la sociedad   ,estebandiezdiez,es,0,0,2014-07-21 15:19:04+00:00,31,False,764,"Manresa, España",,1505596841307615242
1200,2022-03-20 17:26:50+00:00,"Que catetos, cazadores, toreros, señoricos y latifundistas peguen cuatro voces no es una ""manifestación de la España rural"". 

Que empresarios y la patronal del transporte lloriqueen por los precios de la gasolina no es una ""huelga de transporte"".",que catetos  cazadores  toreros  se oricos y latifundistas peguen cuatro voces no es una  manifestaci n de la espa a rural     que empresarios y la patronal del transporte lloriqueen por los precios de la gasolina no es una  huelga de transporte  ,Al_Lopez8,es,0,0,2012-01-25 20:20:06+00:00,1114,False,12593,"Andalucía, República Española.",,1505596742120755209
1207,2022-03-20 17:25:07+00:00,"Illo.... Estáis más perdidos que el barco del arroz

https://t.co/CwRWUYthR4",illo     est is m s perdidos que el barco del arroz   ,NocturniaEterea,es,0,0,2012-04-15 14:02:44+00:00,282,False,10571,,,1505596310807879686
1211,2022-03-20 17:24:24+00:00,"RT @Susana__Mateo: Una huelga de transporte minoritaria, ¿eh, Sánchez?
Sólo hay que ver los lineales de los supermercados y el despliegue p…", una huelga de transporte minoritaria   eh  s nchez  s lo hay que ver los lineales de los supermercados y el despliegue p ,mb1285982084,es,0,2,2021-12-22 17:17:09+00:00,322,False,6937,,,1505596131081863173
1212,2022-03-20 17:24:13+00:00,"RT @LibertyDividend: Todo mi apoyo a la huelga de transporte.
Si hay desabastecimiento a aguantarse toca que no nos vamos a morir.

Gracias…", todo mi apoyo a la huelga de transporte  si hay desabastecimiento a aguantarse toca que no nos vamos a morir   gracias ,mb1285982084,es,0,7,2021-12-22 17:17:09+00:00,322,False,6937,,,1505596081530445824
1213,2022-03-20 17:23:43+00:00,"RT @Carolvilartw: Leed esto. Reuniones Ilegales? @interiorgob
Ya estamos en una dictadura. 
Derecho a la huelga os lo pasáis por el arco de…", leed esto  reuniones ilegales    ya estamos en una dictadura   derecho a la huelga os lo pas is por el arco de ,mb1285982084,es,0,6,2021-12-22 17:17:09+00:00,322,False,6937,,,1505595958998011906
1214,2022-03-20 17:23:37+00:00,"@TCubeto @juralde A mamar, los de V🤮X, pues les encantan las mamandurrias.
En cuanto a la violencia:

https://t.co/wAiJelWfMX",    a mamar  los de v x  pues les encantan las mamandurrias  en cuanto a la violencia    ,DisruptorFinder,es,0,0,2017-06-16 17:14:47+00:00,513,False,28995,España,,1505595931839934469
1221,2022-03-20 17:21:53+00:00,Huelga del transporte hoy: Primeros ci,huelga del transporte hoy  primeros ci,Mccarth73872215,es,0,0,2022-01-27 10:11:56+00:00,0,False,2,,,1505595496676659209
1226,2022-03-20 17:20:02+00:00,El sector menos perjudicado hasta el momento por el paro de la industria del transporte es el de las frutas y hortalizas https://t.co/qWMNugAKsG,el sector menos perjudicado hasta el momento por el paro de la industria del transporte es el de las frutas y hortalizas  ,A3Noticias,es,14,5,2010-05-20 10:33:50+00:00,2022761,True,889,,,1505595028290392066
1228,2022-03-20 17:19:43+00:00,"Afra Blanco, sobre el paro de transporte: ""No es una huelga. Si un asalariado para, el empresario puede despedirlo"" https://t.co/PKcnjdrDGj",afra blanco  sobre el paro de transporte   no es una huelga  si un asalariado para  el empresario puede despedirlo   ,PanamaSuiza,es,9,4,2020-07-04 14:23:16+00:00,12857,False,54124,País Valenciá..,,1505594949747757059
