,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
1700,2022-03-13 19:16:31+00:00,"Así agradece el sindicato de las mariscadas CO las ayudas y subvenciones que reciben del régimen totalitario SOCIALCOMUETARRA que nos desgobierna. Es mucho el dinero que reciben de P.S. y su banda como para manifestarse contra ellos. 👇🏻🆘
https://t.co/kK7E51xKxU vía @ElDiestro_",as  agradece el sindicato de las mariscadas co las ayudas y subvenciones que reciben del r gimen totalitario socialcomuetarra que nos desgobierna  es mucho el dinero que reciben de p s  y su banda como para manifestarse contra ellos        v a   ,Jtpallares,es,1,0,2015-04-29 07:41:02+00:00,40,False,541,"Islas Canarias, España",
1702,2022-03-13 19:16:17+00:00,"RT @Quique7752: Una huelga de transporte, en las circunstancias que estamos, me parece  una ridiculez, que expliquen que piden, lo que pida…", una huelga de transporte  en las circunstancias que estamos  me parece  una ridiculez  que expliquen que piden  lo que pida ,mernieste,es,0,15,2011-08-26 11:40:13+00:00,975,False,79,"Valencia, España",
1727,2022-03-13 19:12:33+00:00,RT @Manudridista14: Queréis a Sánchez fuera? pues vamos todos con los transportistas de nuestro país🚛!!!todos los sectores económicos de Es…, quer is a s nchez fuera  pues vamos todos con los transportistas de nuestro pa s    todos los sectores econ micos de es ,victorfixx,es,0,22,2013-06-16 16:07:10+00:00,372,False,99266,,
1742,2022-03-13 19:11:21+00:00,"CCOO contra la huelga del transporte por el alza del combustible 

https://t.co/FBQ5RWuPfs",ccoo contra la huelga del transporte por el alza del combustible    ,ElDiestro_,es,15,13,2016-02-01 17:36:06+00:00,21971,False,103809,España,
1744,2022-03-13 19:11:12+00:00,"@aorus_es ¿Está claro no? Enviar a Calle V.... 🤭enviarlo pronto que no pille la huelga de transporte 😉. Los periféricos ya los pongo yo, no os preocupéis.",  es  est  claro no  enviar a calle v      enviarlo pronto que no pille la huelga de transporte    los perif ricos ya los pongo yo  no os preocup is ,alextld_,es,2,0,2020-02-18 13:49:23+00:00,4,False,180,Spain,
1745,2022-03-13 19:11:04+00:00,@fromdelicias @TomasUser Y en España en cuanto empiece mañana la huelga de transporte,    y en espa a en cuanto empiece ma ana la huelga de transporte,Raulikopro,es,25,3,2017-02-22 14:52:09+00:00,295,False,56163,"Lorqui, Murcia, España",
1757,2022-03-13 19:09:36+00:00,RT @Mariano_RamosAr: @srtafriggg Está huelga del transporte la hacemos ls transportistas de base. Y no la convoca ls sindicatos subvenciona…,   est  huelga del transporte la hacemos ls transportistas de base  y no la convoca ls sindicatos subvenciona ,victorfixx,es,0,4,2013-06-16 16:07:10+00:00,372,False,99266,,
1769,2022-03-13 19:06:58+00:00,Los sindicatos CCOO y UGT dicen que la huelga del transporte no es una huelga legal como las que ellos hacen... que estos solo son cuatro fachas que no quieren ir a trabajar... con la falta que hace que todos arrimemos el hombro al gobierno Sánchez en lugar de ponerle obstáculos. https://t.co/GRmFAT32rY,los sindicatos ccoo y ugt dicen que la huelga del transporte no es una huelga legal como las que ellos hacen    que estos solo son cuatro fachas que no quieren ir a trabajar    con la falta que hace que todos arrimemos el hombro al gobierno s nchez en lugar de ponerle obst culos   ,6Molson,es,1,0,2013-08-15 22:21:18+00:00,984,False,147154,Montreal - QC - Canada,
1776,2022-03-13 19:05:43+00:00,"RT @PerezColchero: @contrastado Pues movámonos:
 🇪🇸14 de marzo - Huelga transporte
🇪🇸19 de marzo - Manifestaciones ante ayuntamientos por l…",   pues mov monos     14 de marzo   huelga transporte   19 de marzo   manifestaciones ante ayuntamientos por l ,marinacanos,es,0,21,2014-07-26 09:17:36+00:00,1131,False,25252,España,
1794,2022-03-13 19:00:44+00:00,"RT @ManuLuna90: Si criticas la huelga del transporte, siento decirte que eres escoria lamebotas del sistema…
Que tendría que haber una huel…", si criticas la huelga del transporte  siento decirte que eres escoria lamebotas del sistema  que tendr a que haber una huel ,victorfixx,es,0,13,2013-06-16 16:07:10+00:00,372,False,99266,,
1812,2022-03-13 18:57:27+00:00,"RT @SrSpinola: Los sindicatos de clase anunciando que contra los que les dan subvenciones NO es posible huelga alguna!!

Faltaría más🤨

El…", los sindicatos de clase anunciando que contra los que les dan subvenciones no es posible huelga alguna    faltar a m s   el ,Juanjos91479480,es,0,4,2018-05-24 21:08:35+00:00,1080,False,129856,,
1825,2022-03-13 18:55:40+00:00,Leed la entrevista del personaje que convoca la huelga de transporte. Desestabilizar a toda costa. La extrema derecha al ataque. https://t.co/2F1ozhHvCH,leed la entrevista del personaje que convoca la huelga de transporte  desestabilizar a toda costa  la extrema derecha al ataque   ,BegueMarisa,es,0,0,2012-06-30 14:56:54+00:00,726,False,14620,De Jaca. Vivo en Valencia.,
1838,2022-03-13 18:52:50+00:00,"@NsuJuan @EddieyPunto Haber dándote la razón, somos autónomos los que vamos a parar el 90% d transporte de España.

Que será un paro, pero somos currantes y lo hacemos con el espíritu de una huelga.",    haber d ndote la raz n  somos aut nomos los que vamos a parar el 90  d transporte de espa a   que ser  un paro  pero somos currantes y lo hacemos con el esp ritu de una huelga ,juanikobetis,es,5,0,2012-01-11 22:31:41+00:00,295,False,10682,"Sevilla, España.",
1859,2022-03-13 18:50:00+00:00,"@niporwifi En fin, los empresarios...

https://t.co/O4pgwWvBT8 https://t.co/wj4FkWm4bV",  en fin  los empresarios        ,SinIdeasPropias,es,0,0,2013-03-19 20:35:13+00:00,124,False,1287,España,
1862,2022-03-13 18:49:09+00:00,"RT @zonainmamy: Hoy 14 horas en el cuerpo, porque? Porque alguien inventó una huelga de transporte que no está clara y unos WhatsApp que di…", hoy 14 horas en el cuerpo  porque  porque alguien invent  una huelga de transporte que no est  clara y unos whatsapp que di ,juanpunquiles,es,0,1,2009-10-18 18:21:21+00:00,822,False,28437,"Loja, Granada, Andalucía,Spain",
1866,2022-03-13 18:48:52+00:00,"RT @RockTetuan: Los transportistas (esos que llenan los supermercados de cosas), a punto de huelga por el precio del combustible.
¿De verda…", los transportistas  esos que llenan los supermercados de cosas   a punto de huelga por el precio del combustible   de verda ,CapitanVallo,es,0,4,2012-06-04 14:03:44+00:00,168,False,109256,ombligo del Reino de España,
1877,2022-03-13 18:47:03+00:00,"@RubenSanchezTW Ruben, has perdido el norte.
La fama se te ha subido a la cabeza y nadas entre lodos.
No es una falsa huelga, el transporte es un sector estratégico que sufre constantemente subidas desmesuradas de su materia prima, los derivados del petroleo. Ojito con tus comentarios. Respeta.",  ruben  has perdido el norte  la fama se te ha subido a la cabeza y nadas entre lodos  no es una falsa huelga  el transporte es un sector estrat gico que sufre constantemente subidas desmesuradas de su materia prima  los derivados del petroleo  ojito con tus comentarios  respeta ,AVLorenteL,es,1,0,2011-10-17 07:36:42+00:00,76,False,762,Madrid (ESPAÑA),
1881,2022-03-13 18:46:41+00:00,La patronal del transporte que convoca la huelga de la próxima semana justifica la invasion de Ucrania 😳😳😳😳😳😳😳😳😳😳 https://t.co/svgEjy1mGc,la patronal del transporte que convoca la huelga de la pr xima semana justifica la invasion de ucrania             ,jsanchezhachero,es,0,1,2011-02-14 09:56:42+00:00,1558,False,2587,"Cádiz, Spain",
1951,2022-03-13 18:37:53+00:00,cómo? que el lunes empieza una huelga de transporte? pues a pedir por shein di q si🤣🤣,c mo  que el lunes empieza una huelga de transporte  pues a pedir por shein di q si  ,albadcstro,es,2,0,2015-12-11 19:35:43+00:00,233,False,118883,"Granada, España",
1962,2022-03-13 18:36:53+00:00,"Así que la famosa “huelga de transporte” está convocada por una cierta “Plataforma Nacional” que dice que las patronales y asociaciones del sector “son unos vendidos porque cobran subvenciones”, me suena al discurso de cierto partido pero no me viene ahora a la mente…",as  que la famosa  huelga de transporte  est  convocada por una cierta  plataforma nacional  que dice que las patronales y asociaciones del sector  son unos vendidos porque cobran subvenciones   me suena al discurso de cierto partido pero no me viene ahora a la mente ,lvalentgar,es,10,2,2011-09-01 20:47:13+00:00,349,False,5795,West Mediterranean,
1988,2022-03-13 18:34:00+00:00,"La huelga del transporte es de :
EMPRESARIOS FASCISTAS.",la huelga del transporte es de   empresarios fascistas ,Navarro2530,es,9,3,2017-07-19 12:43:12+00:00,4647,False,70196,,
1995,2022-03-13 18:33:22+00:00,"Menudo personaje tienen como portavoz los empresarios del transporte.
https://t.co/Svl0WL1Y0F",menudo personaje tienen como portavoz los empresarios del transporte   ,niporwifi,es,124,64,2009-08-03 14:02:12+00:00,32614,False,53356,Al lado de un espetero. Málaga,
2001,2022-03-13 18:32:15+00:00,"La Secretaría de Estado Sindical dependiente del Ministerio de Trabajo, advierte por boca de su Dirección General de CCOO y Marisco Fresco, que el paro nacional anunciado en el transporte carece de la cobertura legal de una huelga porque sólo van a dejar de ir al trabajo. 💃💃💃 https://t.co/daAiqXOCNF",la secretar a de estado sindical dependiente del ministerio de trabajo  advierte por boca de su direcci n general de ccoo y marisco fresco  que el paro nacional anunciado en el transporte carece de la cobertura legal de una huelga porque s lo van a dejar de ir al trabajo       ,TinManInHighway,es,0,0,2020-02-03 10:26:32+00:00,593,False,20626,Tabernia ,
2053,2022-03-13 18:25:08+00:00,CCOO no tiene ningún derecho a poder opinar. No puede capitalizar el derecho a huelga. Que se vayan a comer marisco que es para lo único que valen junto con robar nuestros impuestos mediante curso falsos y subvenciones. Se puede ir a la mierda. Todo mi apoyo al paro de transporte https://t.co/YRnAtydLzw,ccoo no tiene ning n derecho a poder opinar  no puede capitalizar el derecho a huelga  que se vayan a comer marisco que es para lo  nico que valen junto con robar nuestros impuestos mediante curso falsos y subvenciones  se puede ir a la mierda  todo mi apoyo al paro de transporte  ,DarkSide_CVF,es,3,0,2014-12-19 21:10:47+00:00,1041,False,33532,El lado oscuro,
2055,2022-03-13 18:25:04+00:00,"RT @JaimeSanVicent1: @nolle38 No, ésta huelga la hacen los choferes autónomos del transporte,a día de hoy es prácticamente imposible vivir…",   no   sta huelga la hacen los choferes aut nomos del transporte a d a de hoy es pr cticamente imposible vivir ,Requena1939,es,0,1,2010-07-24 12:04:44+00:00,1254,False,34186,Donde puedo,
2061,2022-03-13 18:24:30+00:00,"RT @elprogreso_Lugo: #Sucesos 🔥 Calcinado un camión en #AsNogais

🚛 El incidente se produjo un día antes del inicio de la huelga de transpo…",  sucesos   calcinado un cami n en  asnogais    el incidente se produjo un d a antes del inicio de la huelga de transpo ,JennyBlanco_29,es,0,1,2011-07-12 17:37:38+00:00,174,False,3626,,
2065,2022-03-13 18:24:01+00:00,"La huelga de transporte sería buena que no se movieran para que no les hicieran como a los canadienses que gastaron combustible dinero y paciencia.
Huelga a la española, ahora sí, ¡Quédate en casa!. https://t.co/r5HOSg0DIK",la huelga de transporte ser a buena que no se movieran para que no les hicieran como a los canadienses que gastaron combustible dinero y paciencia  huelga a la espa ola  ahora s    qu date en casa    ,DanAlvaD,es,6,3,2010-11-18 15:36:41+00:00,935,False,3483,,
