,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
29,2022-03-17 23:59:23+00:00,"Esas milongas serán para crédulos comunistas.

En julio del 2008 el barril alcanzó el precio de 145$  y la gasolina subió hasta los 1,26 €. https://t.co/Lg8IRwlk9L https://t.co/YRx9d3iV3D",esas milongas ser n para cr dulos comunistas   en julio del 2008 el barril alcanz  el precio de 145   y la gasolina subi  hasta los 1 26       ,es,0,0,2017-05-06 03:43:13+00:00,1285,False,112096,España,
30,2022-03-17 23:59:23+00:00,RT @MarkoCortes: ¿Qué pasó @mario_delgado? Te encantaba hablar de cómo bajaría el precio de la gasolina. Ahora que hay gasolinazos de hasta…,  qu  pas    delgado  te encantaba hablar de c mo bajar a el precio de la gasolina  ahora que hay gasolinazos de hasta ,es,0,1246,2012-01-10 16:47:16+00:00,412,False,1414,"Polanco II Sección, Miguel Hid",
31,2022-03-17 23:59:23+00:00,"RT @flogismondi: No hay lógica, una inversión de 20 millones de dólares para buses eléctricos, y 100 millones de dólares para que bajen 500…", no hay l gica  una inversi n de 20 millones de d lares para buses el ctricos  y 100 millones de d lares para que bajen 500 ,es,0,17,2021-03-10 19:08:13+00:00,401,False,11725,,
32,2022-03-17 23:59:22+00:00,RT @LaNacionPy: Martín Arévalo consideró que sería mejor realizar recortes presupuestarios y frenar las contrataciones masivas en entes púb…, mart n ar valo consider  que ser a mejor realizar recortes presupuestarios y frenar las contrataciones masivas en entes p b ,es,0,2,2014-12-31 01:57:52+00:00,228,False,16641,,
33,2022-03-17 23:59:21+00:00,"RT @AZekorra: Precio litro gasolina: 2€ 

Llenado depósito 70l: 140€

Multa por fugarse de la gasolinera sin pagar: 150€

Multa por pronto…", precio litro gasolina  2    llenado dep sito 70l  140   multa por fugarse de la gasolinera sin pagar  150   multa por pronto ,es,0,307,2018-07-29 04:25:16+00:00,66,False,28708,En otro nivel ,
35,2022-03-17 23:59:19+00:00,"RT @JRioboVTV: El alto precio de la gasolina, el desabastecimiento y el alto costo de los alimentos es el día a día en España quien aplicó…", el alto precio de la gasolina  el desabastecimiento y el alto costo de los alimentos es el d a a d a en espa a quien aplic  ,es,0,950,2020-11-26 15:17:54+00:00,51,False,8440,,
36,2022-03-17 23:59:17+00:00,"RT @LuisBareiro: La gente solo toma conciencia del robo público cuando lo siente de manera abrupta en su bolsillo, como cuando sube el comb…", la gente solo toma conciencia del robo p blico cuando lo siente de manera abrupta en su bolsillo  como cuando sube el comb ,es,0,350,2011-02-16 02:14:37+00:00,244,False,6437,Paraguay,
37,2022-03-17 23:59:14+00:00,RT @hdezg_enrique: @PLDenlinea A porque el mundo no está viviendo una situación de crisis por el COVID o Post-Covid? y la guerra Rusia - Uc…,   a porque el mundo no est  viviendo una situaci n de crisis por el covid o post covid  y la guerra rusia   uc ,es,0,2,2010-08-01 21:26:21+00:00,1309,False,2453,"Fayetteville, NC",
38,2022-03-17 23:59:14+00:00,RT @Ruiz_Noticias: GOBIERNO Y PP PROMUEVEN UNA REBAJA DE IMPUESTOS EN CARBURANTES: La fiscalidad es el 47% del precio de la gasolina y el 4…, gobierno y pp promueven una rebaja de impuestos en carburantes  la fiscalidad es el 47  del precio de la gasolina y el 4 ,es,0,185,2011-10-15 09:21:14+00:00,12011,False,63618,España,
39,2022-03-17 23:59:12+00:00,"RT @caarrlooss13_: ¡SALIMOS A LA CALLE!

📎19 MARZO
⏰ 12.00

➡️TOLEDO: Aytos. Toledo, Talavera, Ocaña y Quintanar. 
➡️MADRID: Cibeles.

20.0…",  salimos a la calle    19 marzo   12 00    toledo  aytos  toledo  talavera  oca a y quintanar     madrid  cibeles   20 0 ,es,0,146,2013-03-21 05:13:38+00:00,3424,False,24593,En el Albero.,
