,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
44,2022-03-04 23:58:06+00:00,"RT @Willgomez711: Van a subir los impuestos a la gasolina y el diésel mientras estamos acercándonos a los 2€/L.

Dicen gobernar para la gen…", van a subir los impuestos a la gasolina y el di sel mientras estamos acerc ndonos a los 2  l   dicen gobernar para la gen ,es,0,2,2014-01-20 13:34:05+00:00,225,False,25854,,
45,2022-03-04 23:58:05+00:00,"RT @DonPorfifirio: Seré directo,

La gasolina ni el petróleo son del pueblo.

Lo que si es del pueblo es el ahuevo tener que pagar IEPS por…", ser  directo   la gasolina ni el petr leo son del pueblo   lo que si es del pueblo es el ahuevo tener que pagar ieps por ,es,0,484,2015-12-25 02:01:17+00:00,31,False,29182,,
46,2022-03-04 23:58:04+00:00,"RT @QuotesforGoal: 🇺🇸 | El precio de la gasolina subió 61% desde que ""Joe Biden"" asumió la presidencia.",      el precio de la gasolina subi  61  desde que  joe biden  asumi  la presidencia ,es,0,574,2011-02-13 19:12:50+00:00,881,False,46256,Benidorm,
48,2022-03-04 23:57:57+00:00,RT @CanalAntigua: Nuevo incremento de Q2 al galón de gasolina. En menos de una semana precio incrementa Q4. Diesel presenta un incremento d…, nuevo incremento de q2 al gal n de gasolina  en menos de una semana precio incrementa q4  diesel presenta un incremento d ,es,0,35,2010-06-04 02:09:50+00:00,4055,False,11286,Guatemala,
49,2022-03-04 23:57:55+00:00,"RT @Un_Divergente: @carolina_rocha_ Ayyy doñaaa! En el sexenio por el cual usted suspira, el de Peña, de las pocas cosas que se movieron en…",   rocha  ayyy do aaa  en el sexenio por el cual usted suspira  el de pe a  de las pocas cosas que se movieron en ,es,0,130,2010-09-21 21:21:40+00:00,471,False,89420,Mexico,
50,2022-03-04 23:57:55+00:00,"@germanys10 Estimado la gasolina en Colombia tiene subvención por el fondo de estabilización, importante ver hasta que punto aguantará. Pues en precios sostenidamente elevados las presiones serán vía precio de combustible o sobretasa, sea como sea habrá un golpe eventualmente",  estimado la gasolina en colombia tiene subvenci n por el fondo de estabilizaci n  importante ver hasta que punto aguantar   pues en precios sostenidamente elevados las presiones ser n v a precio de combustible o sobretasa  sea como sea habr  un golpe eventualmente,es,1,0,2010-10-27 22:30:47+00:00,11743,False,21728,Medellin,
51,2022-03-04 23:57:55+00:00,RT @MedinaRabasco: Marihuana/Cocaína/Llenar el depósito de gasolina. https://t.co/GZAtYEFjqU, marihuana coca na llenar el dep sito de gasolina   ,es,0,3906,2019-09-26 23:53:51+00:00,230,False,13766,,
53,2022-03-04 23:57:52+00:00,@jgnaredo Que dirás cuando el litro de gasolina lo pagues en 30 pesos...tontito...,  que dir s cuando el litro de gasolina lo pagues en 30 pesos   tontito   ,es,0,0,2010-04-13 19:53:38+00:00,224,False,4063,"Tampico, Mexico",
56,2022-03-04 23:57:43+00:00,"RT @carolina_rocha_: 57 litros y 1315 pesos. ¡Es el tanque de gasolina más caro que he pagado en México jamás!
Y empiezo a entender a esos…", 57 litros y 1315 pesos   es el tanque de gasolina m s caro que he pagado en m xico jam s  y empiezo a entender a esos ,es,0,3291,2011-02-24 03:58:31+00:00,20,False,147,,
57,2022-03-04 23:57:41+00:00,"@subcantante Salió mas barato que la gasolina de avión ✈️ de la farc , perdón de pa$ 5 años en cuba 🇨🇺.",  sali  mas barato que la gasolina de avi n    de la farc   perd n de pa  5 a os en cuba    ,es,0,0,2012-12-01 00:40:17+00:00,3293,False,32771,lat.5.154289 long -74.129509,
58,2022-03-04 23:57:40+00:00,El tráfico no se entera del aumento de la gasolina. #TraficoGT,el tr fico no se entera del aumento de la gasolina   traficogt,es,10,2,2012-05-09 17:47:41+00:00,1854,False,2524,Centroamérica. ,
60,2022-03-04 23:57:37+00:00,"RT @Elias_Cabeza: Cuándo no teníamos combustible, él se las jugo por nosotros y nos trajo cerca de 700.000 barriles de gasolina al país. 
P…", cu ndo no ten amos combustible   l se las jugo por nosotros y nos trajo cerca de 700 000 barriles de gasolina al pa s   p ,es,0,50,2020-11-05 13:13:00+00:00,611,False,27934,,
64,2022-03-04 23:57:20+00:00,"RT @vuthy1Iiving: Es increíble que haya tanta gente que crea que para apagar un incendio haya que echar más gasolina.
NO A LA GUERRA es dia…", es incre ble que haya tanta gente que crea que para apagar un incendio haya que echar m s gasolina  no a la guerra es dia ,es,0,121,2011-05-19 00:09:29+00:00,1565,False,4084,España,
67,2022-03-04 23:57:17+00:00,@ArelisVicentel3 @shiriyr @entrenador41 Porque ha ido y venido varias veces a La Guaira y varias veces accidentada por agua en la gasolina,      porque ha ido y venido varias veces a la guaira y varias veces accidentada por agua en la gasolina,es,3,0,2012-10-09 21:10:21+00:00,386,False,349,Llegando a Penjamo,
68,2022-03-04 23:57:17+00:00,RT @florgranadosg: ¿Con cuanto se te llena el tanque de gasolina ? A mi con $60 🥲,  con cuanto se te llena el tanque de gasolina   a mi con  60  ,es,0,3,2012-03-12 21:59:43+00:00,2060,False,91047,Madre Teresa de Calcuta,
71,2022-03-04 23:57:01+00:00,Cuando está costando llenar un tanque de gasolina en la cdmx?,cuando est  costando llenar un tanque de gasolina en la cdmx ,es,0,0,2017-02-08 13:38:57+00:00,36,False,2723,México,
72,2022-03-04 23:57:01+00:00,Qué cara está la gasolina va mucha…,qu  cara est  la gasolina va mucha ,es,0,0,2018-02-09 05:02:31+00:00,30,False,4499,Guatemala,
73,2022-03-04 23:56:59+00:00,"RT @antonio_vgc: Pues estos son los precios que te encuentras hoy en las gasolineras de mi zona.
¿Dónde están los camioneros, taxistas, com…", pues estos son los precios que te encuentras hoy en las gasolineras de mi zona   d nde est n los camioneros  taxistas  com ,es,0,411,2010-05-21 11:22:09+00:00,380,False,50427,"Madrid, Comunidad de Madrid",
74,2022-03-04 23:56:57+00:00,RT @raquel4801: Creo que enviar armas a Ucrania es como proporcionar botellas de gasolina a los bomberos para que apaguen el incendio. Pues…, creo que enviar armas a ucrania es como proporcionar botellas de gasolina a los bomberos para que apaguen el incendio  pues ,es,0,100,2012-05-30 19:01:14+00:00,230,False,9365,,
75,2022-03-04 23:56:54+00:00,"RT @SinLinea_Mx: ‼️Sedena construye dos estaciones de servicio para venderle gasolina a usuarios del AIFA
¡Buenas noticias! 
https://t.co/d…",   sedena construye dos estaciones de servicio para venderle gasolina a usuarios del aifa  buenas noticias    ,es,0,224,2021-05-25 18:02:39+00:00,573,False,17006,,
76,2022-03-04 23:56:54+00:00,"RT @melendez_jan: Putin, la gasolina y esta pobreza me tiene bien aborreció", putin  la gasolina y esta pobreza me tiene bien aborreci ,es,0,35,2019-03-13 14:21:01+00:00,202,False,1975,,
77,2022-03-04 23:56:48+00:00,"⛽️  GASOLINA MÁS CARA ⎮ ¡Combustibles siguen subiendo! Reportan otro incremento de Q2

Precios continúan al alza. Más información: https://t.co/cYo01Sc9IH https://t.co/xukddWcuNN",    gasolina m s cara    combustibles siguen subiendo  reportan otro incremento de q2  precios contin an al alza  m s informaci n     ,es,23,1,2013-08-21 10:54:23+00:00,723402,True,516,Guatemala,
78,2022-03-04 23:56:47+00:00,"RT @MiguelHermann: Yo Pidiendo RD$1,000.00 de gasolina.

El Bombero: https://t.co/TFO3Faghfv", yo pidiendo rd 1 000 00 de gasolina   el bombero   ,es,0,201,2017-08-04 13:21:42+00:00,913,False,2607,,
81,2022-03-04 23:56:38+00:00,RT @dguzmaan__: a 🤏🏼 d empezar a pagar el bono joven y dejar el coche porque me voy a arruinar con la gasolina, a    d empezar a pagar el bono joven y dejar el coche porque me voy a arruinar con la gasolina,es,0,113,2011-11-20 21:32:32+00:00,921,False,25206,Canary Islands ,
82,2022-03-04 23:56:36+00:00,"@DGTes 🤣🤣🤣🤣🤣subir impuestos sin control, gasolina, luz. Sois insaciables.
¿SUBIR EL Impuesto de matriculacion? VUESTRA OBSESION, RECAUDAR.
PERO SI NO SE COMPRAN COCHES, ¿DE DONDE VAIS A RECAUDAR? LA CUENTA DE LA LECHERA.🤣🤣🤣🤮🤮🤮🤮DAIS VERDADERO ASCO
POR UNA ESPAÑA SIN POLITICOS",       subir impuestos sin control  gasolina  luz  sois insaciables   subir el impuesto de matriculacion  vuestra obsesion  recaudar  pero si no se compran coches   de donde vais a recaudar  la cuenta de la lechera        dais verdadero asco por una espa a sin politicos,es,0,0,2018-06-11 21:59:23+00:00,149,False,7267,,
84,2022-03-04 23:56:31+00:00,"@RDSomosPueblo Ito, no mientas, usted nos enseñó con la formulita que el gobierno estaba ganando demasiado en cada galón de gasolina y que los que echamos gasolina deberiamos tener un ahorro usted me robó el corazón, voté por usted, usted ganó por nosotros pero lamentablemente nos defraudó!",  ito  no mientas  usted nos ense   con la formulita que el gobierno estaba ganando demasiado en cada gal n de gasolina y que los que echamos gasolina deberiamos tener un ahorro usted me rob  el coraz n  vot  por usted  usted gan  por nosotros pero lamentablemente nos defraud  ,es,0,0,2022-02-17 15:01:29+00:00,0,False,0,,
85,2022-03-04 23:56:31+00:00,"RT @Tomasleyba_: 6 pesos sube la gasolina premium. 

Papa Dios que me siga proveendo los recursos para pagarla a como la pongan🙏🏽", 6 pesos sube la gasolina premium    papa dios que me siga proveendo los recursos para pagarla a como la pongan  ,es,0,10,2010-02-17 14:11:29+00:00,644,False,923,En algun lugar del Mundo..! ,
86,2022-03-04 23:56:29+00:00,"RT @albaricoque01: Y otra cosa os voy a decir; 
cuando suba el precio de la gasolina a 2€/ltr (que llegará, xq en Francia está ya a 1,9 en…", y otra cosa os voy a decir   cuando suba el precio de la gasolina a 2  ltr  que llegar   xq en francia est  ya a 1 9 en ,es,0,14,2011-01-30 23:04:20+00:00,1493,False,114309,Madrid,
87,2022-03-04 23:56:28+00:00,"RT @rimbaudarth: Después de que ayer se anunciara una subida de impuestos desde el Gobierno y de que la luz, el IPC y la gasolina estén por…", despu s de que ayer se anunciara una subida de impuestos desde el gobierno y de que la luz  el ipc y la gasolina est n por ,es,0,393,2020-04-17 13:48:39+00:00,415,False,58773,,
89,2022-03-04 23:56:23+00:00,"RT @Jonathan_bada: Esto es una vergüenza, entiendo las circunstancias pero no las medidas (que no las hay) para frenar el sangrado que nos…", esto es una verg enza  entiendo las circunstancias pero no las medidas  que no las hay  para frenar el sangrado que nos ,es,0,24,2019-09-22 23:04:59+00:00,50,False,230,Badajoz,
91,2022-03-04 23:56:20+00:00,"RT @zulueta23: 🛑👉No es el momento de subir #impuestos, Sr.#Sanchez❗️

🛑👉Es el momento de jubilar el Comité de Sabios que quieren destruirno…",   no es el momento de subir  impuestos  sr  sanchez      es el momento de jubilar el comit  de sabios que quieren destruirno ,es,0,49,2015-01-30 00:17:44+00:00,883,False,146943,"Galicia, España",
96,2022-03-04 23:56:10+00:00,"Amor la gasolina que mueve al mundo , usémosla .",amor la gasolina que mueve al mundo   us mosla  ,es,3,0,2011-05-10 18:11:40+00:00,25757,False,4913,Republica Dominicana,
98,2022-03-04 23:56:04+00:00,"RT @ProtocoloPCA: Cronograma de Combustible Estaciones Subsidiadas Placas 1 y 2 ⛽ Grupo Telegram Región Capital https://t.co/qCfLX2si3Z
#SR…", cronograma de combustible estaciones subsidiadas placas 1 y 2   grupo telegram regi n capital    sr ,es,0,2,2010-03-16 23:41:55+00:00,814,False,32036,,
99,2022-03-04 23:56:01+00:00,Ya le subieron más a la gasolina https://t.co/0nsRakJHIK,ya le subieron m s a la gasolina  ,es,0,0,2018-09-24 05:03:45+00:00,116,False,9644,0901,
100,2022-03-04 23:56:00+00:00,@vidalejo3 Y es gasolina que compraron para vender en 30Q,  y es gasolina que compraron para vender en 30q,es,0,0,2010-10-12 05:01:57+00:00,407,False,7145,Piso 6 cuarto 28,
101,2022-03-04 23:55:59+00:00,"@carolina_rocha_ Andas muy confundida Carolina
Así ha estado la gasolina desde que se fue @epn sin guerra 📢📢 $23/litro premium de importación 
Si está caray es culpa de la franquicia OJO no te confundas 
Entiendo que le cobren impuestos a tu jefe @RicardoBSalinas peros ti no te debería afectar",  rocha  andas muy confundida carolina as  ha estado la gasolina desde que se fue   sin guerra     23 litro premium de importaci n  si est  caray es culpa de la franquicia ojo no te confundas  entiendo que le cobren impuestos a tu jefe   peros ti no te deber a afectar,es,147,51,2019-04-26 03:09:01+00:00,7124,False,116561,#Amlosfera Planeta Tierra,
103,2022-03-04 23:55:58+00:00,"Pepa pig versión 4 T @CitlaHM , ¿como para cuando llegara la gasolina de $10.00 el litro?

#JoseRamonLopezBeltran13 https://t.co/aPZrA8oIzo",pepa pig versi n 4 t      como para cuando llegara la gasolina de  10 00 el litro    joseramonlopezbeltran13  ,es,103,79,2021-04-24 22:16:53+00:00,5473,False,23119,,
104,2022-03-04 23:55:58+00:00,@LassoGuillermo señor presidente por favor congele el precio de la gasolina súper la case media está siendo ahorcada !!! Por favor por mi familia no podemos más con tanto impuesto,  se or presidente por favor congele el precio de la gasolina s per la case media est  siendo ahorcada     por favor por mi familia no podemos m s con tanto impuesto,es,0,0,2018-10-23 02:17:01+00:00,11,False,210,"Quito, Ecuador",
105,2022-03-04 23:55:56+00:00,"RT @Eli3JusticeXX: 89€ de compra! 89 eurooos!!!
Fruta, verdura y pescado congelado para mi sola. 89 euros!!!
Ya puedo racionalizar la comid…", 89  de compra  89 eurooos    fruta  verdura y pescado congelado para mi sola  89 euros    ya puedo racionalizar la comid ,es,0,936,2021-01-11 21:20:21+00:00,141,False,63001,,
106,2022-03-04 23:55:53+00:00,"RT @MalthusGamba: ""Imaginemos un escenario que no va a presentarse en este momento""

""Si Estados Unidos nos dijera, no te vendo gasolina ¿c…",  imaginemos un escenario que no va a presentarse en este momento    si estados unidos nos dijera  no te vendo gasolina  c ,es,0,579,2010-11-21 04:50:07+00:00,2890,False,33623,Canadá,
107,2022-03-04 23:55:51+00:00,"RT @soyalecavag: YA BAJEN LA GASOLINA, POR FAVOR, YA NO PUEDO MÁS 😭😭😭 https://t.co/fNcyACiEdH", ya bajen la gasolina  por favor  ya no puedo m s      ,es,0,172,2010-08-18 02:16:52+00:00,343,False,18663,"Lima, Perú",
108,2022-03-04 23:55:50+00:00,RT @diazbetic: debido a los precios de la gasolina solo saldré a janguear si es con pon incluido, debido a los precios de la gasolina solo saldr  a janguear si es con pon incluido,es,0,179,2018-01-04 18:32:16+00:00,257,False,23259,,
109,2022-03-04 23:55:32+00:00,"Los precios SOLIDARIOS de los combustibles para este fin de semana:

GASOLINA SÚPER      45.80
GASOLINA REGULAR 44.63
DIESEL 41.38",los precios solidarios de los combustibles para este fin de semana   gasolina s per      45 80 gasolina regular 44 63 diesel 41 38,es,59,18,2019-06-20 02:52:52+00:00,17794,False,127692,,
112,2022-03-04 23:55:23+00:00,RT @AidaJantzen: @andall93 Si sube la gasolina todos los precios suben por costos de transporte de productos. Ya se ve en el super y los pr…,   si sube la gasolina todos los precios suben por costos de transporte de productos  ya se ve en el super y los pr ,es,0,2,2014-02-03 02:50:39+00:00,203,False,19819,,
113,2022-03-04 23:55:23+00:00,@JPaulinoL @Jgrullon26 @MarcelinoLara17 @luito_desangles @JuancitoPerezRD @HRCC07 @SiperMr @marizan_rafael @MorelBrendaly @victor_arias30 @delvyslanfranco Ya la gasolina casi a trescientos pesos y el pueblo Dominicano sigue cargando pesado con estos descerebrados destrozando todo....,        desangles         rafael     arias30   ya la gasolina casi a trescientos pesos y el pueblo dominicano sigue cargando pesado con estos descerebrados destrozando todo    ,es,0,0,2019-09-10 00:49:50+00:00,54,False,74,,
115,2022-03-04 23:55:17+00:00,"RT @yaracalcagno: Difundo.03/03/2021
Este perrito fue encontrado en la cola de la estación de gasolina LOS MANGOS EN LA FLORIDA. Estaba des…", difundo 03 03 2021 este perrito fue encontrado en la cola de la estaci n de gasolina los mangos en la florida  estaba des ,es,0,138,2009-09-30 02:11:10+00:00,1686,False,28066,Valencia/Venezuela,
116,2022-03-04 23:55:07+00:00,"@andall93 Cerveza =placer
Gasolina=necesidad.",  cerveza  placer gasolina necesidad ,es,0,0,2017-04-26 21:47:43+00:00,6,False,2444,,
118,2022-03-04 23:55:05+00:00,"RT @GobiernoMX: Se ha cumplido el compromiso de no aumentar en términos reales el precio de los combustibles. 
Comparado con los últimos do…", se ha cumplido el compromiso de no aumentar en t rminos reales el precio de los combustibles   comparado con los  ltimos do ,es,0,479,2019-01-07 19:47:29+00:00,184,False,111772,,
