,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
43,2022-03-07 23:59:37+00:00,RT @DiegodelBosqueV: No se porque a la oposición le importa tanto el precio de la gasolina si ellos usan puros carros eléctricos., no se porque a la oposici n le importa tanto el precio de la gasolina si ellos usan puros carros el ctricos ,es,0,762,2012-07-05 02:01:51+00:00,101,False,1737,Cdmx,
44,2022-03-07 23:59:36+00:00,"@9danielval @AuraVzla92 Se terminó de joder el mocho aumento del salario mínimo: Y esa fué la miserable estrategia del NarcoNM, para que pasara por debajo de la mesa la jodida de la gasolina:
Maldita NarcoRevolición y sus RATAS 🐀🐁",    se termin  de joder el mocho aumento del salario m nimo  y esa fu  la miserable estrategia del narconm  para que pasara por debajo de la mesa la jodida de la gasolina  maldita narcorevolici n y sus ratas   ,es,2,1,2017-10-01 10:28:07+00:00,2101,False,17183,"Chacao Gutire, Venezuela",
45,2022-03-07 23:59:35+00:00,"RT @pburelli: 🇻🇪🇺🇸 | Respuestas Rápidas

¿Aumento de producción de @PDVSA puede afectar precios de gasolina hoy?
¡En nada!

¿Puede crudo de…",        respuestas r pidas   aumento de producci n de   puede afectar precios de gasolina hoy   en nada    puede crudo de ,es,0,66,2010-09-01 16:11:05+00:00,629,False,259666,,
47,2022-03-07 23:59:34+00:00,RT @v_gede: no se si echar gasolina o vender el coche, no se si echar gasolina o vender el coche,es,0,3950,2020-06-02 15:31:17+00:00,87,False,420,,
49,2022-03-07 23:59:34+00:00,RT @PCazador2021: Toda la roncha que hemos pasado con las medidas que el gobierno de LOS EEUU nos han aplicado pero esto me da un fresquito…, toda la roncha que hemos pasado con las medidas que el gobierno de los eeuu nos han aplicado pero esto me da un fresquito ,es,0,367,2010-05-06 20:10:58+00:00,4604,False,23364,Venezuela,
51,2022-03-07 23:59:33+00:00,RT @carlesenric: Si la gasolina no tuviera impuestos estaría por debajo de 1 euro x litro. El Gobierno se forra con la crisis. Nunca hay qu…, si la gasolina no tuviera impuestos estar a por debajo de 1 euro x litro  el gobierno se forra con la crisis  nunca hay qu ,es,0,6941,2017-03-02 18:13:12+00:00,285,False,203217,"Olvera, España",
52,2022-03-07 23:59:33+00:00,"RT @pppenaloza: Delcy Rodríguez: ""Nunca nos verán en las filas de la guerra"". Ni en las de las emergencias de los hospitales, ni en las de…", delcy rodr guez   nunca nos ver n en las filas de la guerra   ni en las de las emergencias de los hospitales  ni en las de ,es,0,2534,2012-01-30 21:08:39+00:00,275,False,15518,"Querétaro Arteaga, México",
53,2022-03-07 23:59:32+00:00,"RT @notNicoRm: Gasolina a 2€ ///    Encarcelan a un
Luz a 400€.   ///  rapero delincuente https://t.co/tc1ztXAYs4", gasolina a 2         encarcelan a un luz a 400          rapero delincuente  ,es,0,3205,2015-03-16 16:24:20+00:00,150,False,2513,,
54,2022-03-07 23:59:30+00:00,"RT @ElPatochadas: Vosotros os preguntáis cómo es posible que el pueblo ruso no se rebele contra Putin.

El pueblo ruso se pregunta cómo nos…", vosotros os pregunt is c mo es posible que el pueblo ruso no se rebele contra putin   el pueblo ruso se pregunta c mo nos ,es,0,227,2021-01-08 20:37:49+00:00,42,False,5106,,
57,2022-03-07 23:59:27+00:00,"RT @maisong: Cuando me entero que hay una guerra en el este de Europa, Biden hará negocios con Maduro y la gasolina anda por las nubes. htt…", cuando me entero que hay una guerra en el este de europa  biden har  negocios con maduro y la gasolina anda por las nubes  htt ,es,0,67,2019-12-22 20:20:11+00:00,193,False,11751,,
58,2022-03-07 23:59:26+00:00,"RT @GuaraCuchaFE: El problema es que anunciaron un dizque aumento del sueldo mínimo y ni siquiera se ha hecho efectivo, ni ha salido en Gac…", el problema es que anunciaron un dizque aumento del sueldo m nimo y ni siquiera se ha hecho efectivo  ni ha salido en gac ,es,0,645,2013-05-03 00:07:12+00:00,2066,False,25016,URBI ET ORBI,
59,2022-03-07 23:59:26+00:00,"RT @traffiCARACAS: Gasolina a 0.50$ el litro. En promedio un vehículo de 40 litros surte gasolina 2 veces por semana, 8 veces cada mes. 8 $…", gasolina a 0 50  el litro  en promedio un veh culo de 40 litros surte gasolina 2 veces por semana  8 veces cada mes  8   ,es,0,24,2009-10-17 00:43:15+00:00,2236,False,313,Natal de Carupano Edo Sucre. ,
62,2022-03-07 23:59:25+00:00,RT @PedroKonductaz: Mis consideraciones con el Tema de la Visita de funcionarios de los EEUU a Venezuela: Vienen por el aumento de los prec…, mis consideraciones con el tema de la visita de funcionarios de los eeuu a venezuela  vienen por el aumento de los prec ,es,0,170,2022-02-16 22:09:59+00:00,165,False,5334,Monagas Furrial,
