,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
31,2022-03-09 23:59:31+00:00,"RT @ClaudioXGG: “Van a subsidiar la gasolina, lo cual favorece más a las clases medias y altas, pero cancelar Escuelas de Tiempo Completo,…",  van a subsidiar la gasolina  lo cual favorece m s a las clases medias y altas  pero cancelar escuelas de tiempo completo  ,es,0,1601,2019-12-17 23:53:34+00:00,117,False,20483,,
34,2022-03-09 23:59:25+00:00,"RT @algmayen: Vayamos y manifestamos por todo. Por la gasolina, por la mina, por salarios miserables, por la luz, por la canasta,  por las…", vayamos y manifestamos por todo  por la gasolina  por la mina  por salarios miserables  por la luz  por la canasta   por las ,es,0,3,2013-10-24 00:51:39+00:00,93,False,16377,guatemla city,
37,2022-03-09 23:59:21+00:00,"RT @ajierrojavi: No se porqué decís que el precio de la gasolina ha subido, yo siempre echo 20€ y me siguen cobrando lo mismo, no me lo han…", no se porqu  dec s que el precio de la gasolina ha subido  yo siempre echo 20  y me siguen cobrando lo mismo  no me lo han ,es,0,15,2014-03-25 22:29:38+00:00,1335,False,105324,,
38,2022-03-09 23:59:20+00:00,"RT @RakelAntifa: Que dice Borrell que bajemos la calefacción y el consumo de gas,así que ya sabéis todos con unos cubos en las casas,un poc…", que dice borrell que bajemos la calefacci n y el consumo de gas as  que ya sab is todos con unos cubos en las casas un poc ,es,0,201,2017-05-20 19:45:18+00:00,1047,False,25404,,
39,2022-03-09 23:59:19+00:00,"Estoy pensando que para mi cumpleaños, me den de regalo galpones de gasolina, a estas alturas con lo caro que esta sería buen regalo🙊🙈🤣🤣 https://t.co/qpKWQUlYf0",estoy pensando que para mi cumplea os  me den de regalo galpones de gasolina  a estas alturas con lo caro que esta ser a buen regalo      ,es,0,0,2018-11-30 02:06:59+00:00,1568,False,15440,ciudad que nunca duerme🗽,
40,2022-03-09 23:59:18+00:00,RT @akapoulainne: “os quejáis del precio de la gasolina y la luz pero no de gastaros 100 pavos en una botella de fiesta eh” María José si d…,  os quej is del precio de la gasolina y la luz pero no de gastaros 100 pavos en una botella de fiesta eh  mar a jos  si d ,es,0,988,2017-08-14 22:08:58+00:00,171,False,36017,Aula 4,
42,2022-03-09 23:59:17+00:00,#Gasolina ya rebasa los 27 por litro en algunas estaciones de CDMX https://t.co/hixwB3188Z, gasolina ya rebasa los 27 por litro en algunas estaciones de cdmx  ,es,0,2,2014-10-22 14:32:38+00:00,85,False,98,"México, Distrito Federal",
43,2022-03-09 23:59:17+00:00,"Cómo se supone que voy a pasar costos, no morir de covid, tener gasolina para ir al infierno y volver a mi casa? Cómo??!!",c mo se supone que voy a pasar costos  no morir de covid  tener gasolina para ir al infierno y volver a mi casa  c mo    ,es,0,0,2019-11-09 07:58:21+00:00,29,False,23,,
44,2022-03-09 23:59:17+00:00,"RT @venezolanoenpie: Trump lo advierto y específicamente a los alemanes, “no pueden mantener del gas de Rusia” y se rieron

Hoy Biden prohí…", trump lo advierto y espec ficamente a los alemanes   no pueden mantener del gas de rusia  y se rieron  hoy biden proh  ,es,0,13,2009-12-16 17:02:22+00:00,376,False,7908,,
45,2022-03-09 23:59:16+00:00,"RT @gustavovelezpr: Me enteré hoy que gran parte de la gasolina que usamos aquí, viene de Europa, y países bálticos. Por la ley jones es má…", me enter  hoy que gran parte de la gasolina que usamos aqu   viene de europa  y pa ses b lticos  por la ley jones es m  ,es,0,48,2010-02-09 19:18:50+00:00,528,False,22250,Ponce P.R.,
